coc_number,coc_category
NC-513,Other Urban CoCs
NC-516,Rural CoCs
ND-500,Rural CoCs
NE-500,Rural CoCs
NE-501,Major Cities
NE-502,Other Urban CoCs
NH-500,Rural CoCs
NH-501,Other Urban CoCs
NH-502,Suburban CoCs
NJ-500,Suburban CoCs
NJ-501,Suburban CoCs
NJ-502,Suburban CoCs
NJ-503,Suburban CoCs
NJ-504,Suburban CoCs
NJ-506,Suburban CoCs
NJ-507,Suburban CoCs
NJ-508,Suburban CoCs
NJ-509,Suburban CoCs
NJ-510,Suburban CoCs
NJ-511,Suburban CoCs
NJ-512,Suburban CoCs
NJ-513,Suburban CoCs
NJ-514,Suburban CoCs
NJ-515,Suburban CoCs
NJ-516,Suburban CoCs
NM-500,Major Cities
NM-501,Rural CoCs
NV-500,Major Cities
NV-501,Other Urban CoCs
NV-502,Rural CoCs
NY-500,Suburban CoCs
NY-501,Rural CoCs
NY-503,Suburban CoCs
NY-504,Rural CoCs
NY-505,Suburban CoCs
NY-507,Suburban CoCs
NY-508,Suburban CoCs
NY-510,Rural CoCs
NY-511,Rural CoCs
NY-512,Suburban CoCs
NY-513,Rural CoCs
NY-514,Rural CoCs
NY-516,Rural CoCs
NY-518,Rural CoCs
NY-519,Rural CoCs
NY-520,Rural CoCs
NY-522,Rural CoCs
NY-523,Suburban CoCs
NY-600,Major Cities
NY-601,Suburban CoCs
NY-602,Suburban CoCs
NY-603,Suburban CoCs
NY-604,Suburban CoCs
NY-606,Suburban CoCs
NY-607,Rural CoCs
NY-608,Rural CoCs
OH-500,Suburban CoCs
OH-501,Other Urban CoCs
OH-502,Suburban CoCs
OH-503,Major Cities
OH-504,Other Urban CoCs
OH-505,Suburban CoCs
OH-506,Suburban CoCs
OH-507,Rural CoCs
OH-508,Suburban CoCs
OK-500,Rural CoCs
OK-501,Major Cities
OK-502,Major Cities
OK-503,Rural CoCs
OK-504,Suburban CoCs
OK-505,Rural CoCs
OK-506,Rural CoCs
OK-507,Rural CoCs
OR-500,Other Urban CoCs
OR-501,Major Cities
OR-502,Suburban CoCs
OR-503,Rural CoCs
OR-505,Rural CoCs
OR-506,Suburban CoCs
OR-507,Suburban CoCs
PA-500,Major Cities
PA-501,Suburban CoCs
PA-502,Suburban CoCs
PA-503,Suburban CoCs
PA-504,Suburban CoCs
PA-505,Suburban CoCs
PA-506,Suburban CoCs
PA-508,Suburban CoCs
PA-509,Rural CoCs
PA-510,Suburban CoCs
PA-511,Suburban CoCs
PA-512,Suburban CoCs
PA-600,Suburban CoCs
PA-601,Rural CoCs
PA-603,Suburban CoCs
PA-605,Suburban CoCs
PR-502,Suburban CoCs
PR-503,Suburban CoCs
RI-500,Suburban CoCs
SC-500,Suburban CoCs
SC-501,Suburban CoCs
SC-502,Suburban CoCs
SC-503,Rural CoCs
SD-500,Rural CoCs
TN-500,Rural CoCs
TN-501,Major Cities
TN-502,Suburban CoCs
TN-503,Rural CoCs
TN-504,Major Cities
TN-506,Rural CoCs
TN-507,Rural CoCs
TN-509,Rural CoCs
TN-510,Suburban CoCs
TN-512,Rural CoCs
TX-500,Major Cities
TX-503,Major Cities
TX-600,Major Cities
TX-601,Major Cities
TX-603,Major Cities
TX-604,Rural CoCs
TX-607,Rural CoCs
TX-611,Other Urban CoCs
TX-624,Rural CoCs
TX-700,Major Cities
TX-701,Other Urban CoCs
UT-500,Suburban CoCs
UT-503,Suburban CoCs
UT-504,Suburban CoCs
VA-500,Suburban CoCs
VA-501,Suburban CoCs
VA-502,Suburban CoCs
VA-503,Major Cities
VA-504,Rural CoCs
VA-505,Other Urban CoCs
VA-507,Other Urban CoCs
VA-508,Rural CoCs
VA-513,Rural CoCs
VA-514,Suburban CoCs
VA-521,Rural CoCs
VA-600,Other Urban CoCs
VA-601,Suburban CoCs
VA-602,Suburban CoCs
VA-603,Other Urban CoCs
VA-604,Suburban CoCs
VI-500,Rural CoCs
VT-500,Rural CoCs
VT-501,Other Urban CoCs
WA-500,Major Cities
WA-501,Rural CoCs
WA-502,Other Urban CoCs
WA-503,Suburban CoCs
WA-504,Suburban CoCs
WA-508,Suburban CoCs
WI-500,Rural CoCs
WI-501,Major Cities
WI-502,Suburban CoCs
WI-503,Other Urban CoCs
WV-500,Rural CoCs
WV-501,Rural CoCs
WV-503,Suburban CoCs
WV-508,Rural CoCs
WY-500,Rural CoCs
