year,coc_number,coc_number_and_name,pprn,estimated_ard,bonus,coc_planning,State,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2018,AR-501,"AR-501-FAYETTEVILLE,NORTHWEST ARKANSAS",1106218,345423,66373,33187,AR,Fayetteville/Northwest Arkansas CoC,Other Urban CoCs,474,107,216,0,323,151,348,70,127,0,197,151,126,37,89,126,0,42,12,30,42,0,42.0,9.0,0.0,9.0,33.0,42,9.0,0.0,9,33,0.0,0.0,0.0,0.0,60.0,11.0,29.0,0.0,40.0,20.0,51.0,13.0,32.0,0.0,45.0,6.0,22.0,6.0,15.0,0.0,21.0,1.0,29.0,7.0,17.0,0.0,24.0,5.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0
2018,AR-503,AR-503-ARKANSAS BALANCE OF STATE,2304663,482867,138280,69140,AR,Arkansas  Balance of State  CoC,Rural CoCs,768,243,66,0,309,459,666,170,54,0,224,442,102,73,12,85,17,35,26,4,30,5,107.0,21.0,0.0,21.0,86.0,107,21.0,0.0,21,86,0.0,0.0,0.0,0.0,31.0,14.0,0.0,0.0,14.0,17.0,92.0,16.0,3.0,0.0,19.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,16.0,3.0,0.0,19.0,73.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0
2018,AR-504,AR-504-DELTA HILLS,915278,0,54917,27458,AR,Delta Hills CoC,Rural CoCs,57,16,10,6,32,25,51,16,10,6,32,19,6,0,0,0,6,2,0,0,0,2,18.0,5.0,4.0,9.0,9.0,15,5.0,4.0,9,6,3.0,0.0,0.0,3.0,11.0,11.0,0.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,AR-505,AR-505-SOUTHEAST ARKANSAS,844557,257589,50673,25337,AR,Southeast Arkansas CoC,Rural CoCs,101,85,10,0,95,6,53,43,4,0,47,6,48,42,6,48,0,14,12,2,14,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,9.0,9.0,0.0,0.0,9.0,0.0,7.0,7.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,AZ-500,AZ-500-ARIZONA BALANCE OF STATE,3763471,3880375,232823,116411,AZ,Arizona Balance of State CoC,Rural CoCs,2187,850,252,0,1102,1085,1638,531,133,0,664,974,549,319,119,438,111,169,101,37,138,31,537.0,59.0,0.0,59.0,478.0,530,59.0,0.0,59,471,7.0,0.0,0.0,7.0,277.0,48.0,59.0,0.0,107.0,170.0,120.0,53.0,4.0,0.0,57.0,63.0,10.0,10.0,0.0,0.0,10.0,0.0,110.0,43.0,4.0,0.0,47.0,63.0,11.0,0.0,2.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,1.0,1.0,9.0,13.0,0.0,5.0,5.0,8.0
2018,AZ-501,"AZ-501-TUCSON,PIMA COUNTY",6157719,8395741,503744,251872,AZ,Tucson/Pima County CoC,Major Cities,1380,666,337,14,1017,363,1079,532,174,14,720,359,301,134,163,297,4,104,50,52,102,2,263.0,164.0,8.0,172.0,91.0,251,152.0,8.0,160,91,12.0,12.0,12.0,0.0,203.0,89.0,67.0,2.0,158.0,45.0,103.0,36.0,31.0,0.0,67.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,36.0,31.0,0.0,67.0,36.0,29.0,6.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,23.0,29.0,0.0,31.0,8.0,23.0,31.0,0.0
2018,AZ-502,"AZ-502-PHOENIX,MESA,MARICOPA COUNTY",20155725,25346823,1520809,760405,AZ,"Phoenix, Mesa/Maricopa County CoC",Major Cities,6298,2099,1555,26,3680,2618,4542,1264,680,26,1970,2572,1756,835,875,1710,46,519,239,266,505,14,974.0,353.0,5.0,358.0,616.0,959,340.0,5.0,345,614,15.0,13.0,13.0,2.0,413.0,80.0,169.0,26.0,275.0,138.0,415.0,127.0,146.0,0.0,273.0,142.0,38.0,19.0,19.0,0.0,38.0,0.0,377.0,108.0,127.0,0.0,235.0,142.0,24.0,13.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,11.0,24.0,0.0,37.0,20.0,17.0,37.0,0.0
2018,CA-500,"CA-500-SAN JOSE,SANTA CLARA CITY & COUNTY",9072201,21883337,1313000,656500,CA,San Jose/Santa Clara City & County CoC,Major Cities,7254,1151,635,20,1806,5448,6267,754,341,20,1115,5152,987,397,294,691,296,272,115,86,201,71,2139.0,338.0,6.0,344.0,1795.0,2056,292.0,6.0,298,1758,83.0,46.0,46.0,37.0,658.0,70.0,116.0,20.0,206.0,452.0,2517.0,31.0,50.0,0.0,81.0,2436.0,506.0,6.0,0.0,0.0,6.0,500.0,2011.0,25.0,50.0,0.0,75.0,1936.0,33.0,8.0,17.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,17.0,25.0,8.0,42.0,11.0,22.0,33.0,9.0
2018,CA-501,CA-501-SAN FRANCISCO,13279111,40532368,2431942,1215971,CA,San Francisco CoC,Major Cities,6857,2011,474,19,2504,4353,6211,1591,268,19,1878,4333,646,420,206,626,20,247,155,86,241,6,1757.0,174.0,5.0,179.0,1578.0,1732,152.0,5.0,157,1575,25.0,22.0,22.0,3.0,656.0,147.0,134.0,19.0,300.0,356.0,1292.0,42.0,126.0,0.0,168.0,1124.0,103.0,9.0,0.0,0.0,9.0,94.0,1189.0,33.0,126.0,0.0,159.0,1030.0,157.0,90.0,60.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0,157.0,90.0,60.0,150.0,7.0,189.0,124.0,60.0,184.0,5.0
2018,CA-502,"CA-502-OAKLAND,BERKELEY,ALAMEDA COUNTY",10628870,34329783,2059787,1029893,CA,"Oakland, Berkeley/Alameda County CoC",Major Cities,5496,962,660,11,1633,3863,4801,570,383,11,964,3837,695,392,277,669,26,256,150,97,247,9,1742.0,328.0,5.0,333.0,1409.0,1625,214.0,5.0,219,1406,117.0,114.0,114.0,3.0,526.0,44.0,94.0,10.0,148.0,378.0,935.0,66.0,131.0,0.0,197.0,738.0,74.0,11.0,1.0,0.0,12.0,62.0,861.0,55.0,130.0,0.0,185.0,676.0,53.0,9.0,39.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,39.0,48.0,5.0,66.0,9.0,50.0,59.0,7.0
