year,cocnumber,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2015-2014,MI-510,2,-7,86,2,-107
2014-2017,MI-510,-72,4,-111,-1,47
2017-2014,MI-511,72,3,3,0,64
2014-2015,MI-511,-74,-3,-4,3,-119
2015-2016,MI-511,21,0,10,2,6
2017-2016,MI-512,182,2,118,-12,134
2016-2014,MI-512,185,-21,-30,14,168
2014-2015,MI-512,-91,14,8,-4,-84
2016-2017,MI-513,6,0,-41,3,45
2017-2015,MI-513,54,4,76,1,8
2015-2014,MI-513,-46,-4,-23,1,-55
2014-2016,MI-514,73,0,-50,58,50
2016-2015,MI-514,61,14,48,-37,30
2015-2017,MI-514,-204,-14,-106,-9,-67
2014-2016,MI-515,123,1,48,23,65
2016-2017,MI-515,-112,3,-34,-7,-68
2017-2015,MI-515,60,-4,-32,16,18
2017-2016,MI-516,185,6,127,-18,102
2016-2014,MI-516,31,-6,1,6,23
2014-2015,MI-516,-54,3,-45,4,-50
2015-2017,MI-517,-98,6,-40,7,-200
2017-2016,MI-517,-24,-3,-22,-9,-40
2016-2014,MI-517,259,-3,59,-5,344
2014-2015,MI-518,116,0,28,3,71
2015-2017,MI-518,-151,0,-50,6,-102
2017-2016,MI-518,42,4,44,-27,43
2015-2016,MI-519,-123,10,-20,-22,-154
2016-2014,MI-519,2,-16,-10,10,37
2014-2017,MI-519,-62,4,-20,12,-43
2016-2017,MI-523,-2,-3,49,5,-44
2017-2015,MI-523,175,7,-27,0,237
2015-2014,MI-523,-29,-7,-94,-11,34
2014-2017,MN-500,409,41,-220,-215,736
2017-2015,MN-500,-377,4,371,299,-1027
2015-2016,MN-500,-589,-41,-223,-306,9
2017-2014,MN-501,-107,-82,247,-8,-238
2014-2015,MN-501,49,35,-68,-34,125
2015-2016,MN-501,80,19,194,-18,-135
2017-2015,MN-502,-543,-8,-106,-8,-413
2015-2014,MN-502,-171,-10,-72,-6,-90
2014-2016,MN-502,821,46,142,75,574
2017-2015,MN-503,-942,-6,-50,-92,-697
2015-2014,MN-503,-160,29,-86,47,-158
2014-2016,MN-503,812,-44,208,-17,663
2017-2015,MN-504,-50,3,8,-13,-29
2015-2016,MN-504,42,3,8,-9,46
2016-2014,MN-504,-50,-1,-9,13,-59
2015-2014,MN-505,-95,6,-17,-7,-62
2014-2016,MN-505,309,27,135,-32,151
2016-2017,MN-505,67,-13,-139,61,160
2014-2017,MN-506,376,21,5,11,343
2017-2016,MN-506,-124,-15,54,-7,-169
2016-2015,MN-506,-227,1,-106,12,-120
2016-2015,MN-508,-31,11,-9,28,-28
2015-2017,MN-508,-48,-7,-43,-6,-7
2017-2014,MN-508,-102,-7,9,-20,-96
2015-2014,MN-509,-170,3,-72,-33,-64
2014-2016,MN-509,148,-11,-6,-20,175
2016-2017,MN-509,83,10,-17,10,92
2014-2015,MN-511,12,-6,48,-27,-8
2015-2017,MN-511,-26,0,7,1,-15
2017-2016,MN-511,74,0,-30,-11,106
2014-2016,MO-500,368,13,86,20,261
2016-2015,MO-500,-177,-11,-119,22,-73
2015-2017,MO-500,553,21,113,-10,408
2015-2017,MO-501,489,0,-3,43,418
2017-2014,MO-501,-580,14,-3,-31,-544
2014-2016,MO-501,508,-14,37,6,501
2014-2017,MO-503,210,5,40,1,200
2017-2015,MO-503,-262,0,-51,-9,-195
2015-2016,MO-503,179,-6,31,-17,139
2015-2014,MO-600,-476,5,-87,5,-467
2014-2016,MO-600,594,-4,95,-53,461
2016-2017,MO-600,381,3,-25,64,345
2017-2014,MO-602,-86,0,20,-21,16
2014-2016,MO-602,165,9,31,26,120
2016-2015,MO-602,-158,-16,-28,-24,-168
2016-2014,MO-603,254,-87,27,5,347
2014-2015,MO-603,-115,35,-38,20,-127
2015-2017,MO-603,-128,-61,52,-39,-157
2017-2014,MO-604,502,-9,-17,-14,565
2014-2016,MO-604,56,24,-29,100,-65
2016-2015,MO-604,-318,199,-182,-75,-220
2016-2017,MO-606,1301,82,151,102,1092
2017-2014,MO-606,-1761,1,-25,-216,-1747
2014-2015,MO-606,338,-28,-54,-83,637
2014-2015,MS-500,1700,21,-39,30,1748
2015-2016,MS-500,986,-21,48,6,916
2016-2017,MS-500,390,7,18,35,374
2016-2017,MS-501,-175,0,8,-37,-19
2017-2014,MS-501,837,106,-1,48,749
2014-2015,MS-501,-675,-104,-40,-42,-1374
2017-2015,MS-503,258,-10,-55,-77,362
2015-2016,MS-503,-512,-11,45,4,-645
2016-2014,MS-503,830,26,-82,54,878
2017-2016,MT-500,-613,-107,-61,-36,-550
2016-2015,MT-500,23,7,-5,29,17
2015-2014,MT-500,-413,-22,55,-33,-310
2017-2015,NC-500,-150,-13,-26,-4,-107
2015-2016,NC-500,-34,2,-33,-27,24
2016-2014,NC-500,49,-7,55,16,-15
2014-2016,NC-501,54,21,-58,44,47
2016-2015,NC-501,-17,-10,42,-17,-32
2015-2017,NC-501,52,0,-31,5,78
2015-2017,NC-502,95,17,53,73,-76
2017-2016,NC-502,35,-11,-21,-80,159
2016-2014,NC-502,-90,-12,-70,61,-150
2017-2016,NC-503,-1348,83,107,-414,-891
2016-2014,NC-503,107,-504,-181,-520,1223
2014-2015,NC-503,149,264,118,189,-370
2017-2014,NC-504,-482,-3,24,-101,-399
2014-2016,NC-504,146,-14,-11,63,108
2016-2015,NC-504,180,9,58,-31,144
2015-2017,NC-505,-253,26,-25,-121,-130
2017-2016,NC-505,-241,-2,50,-22,-280
2016-2014,NC-505,380,10,-126,2,523
2015-2014,NC-506,-190,-4,66,-42,-202
2014-2016,NC-506,397,21,-59,53,393
2016-2017,NC-506,-158,-9,-70,41,-137
2016-2014,NC-507,-555,-6,-7,-141,-401
2014-2015,NC-507,364,5,75,2,289
2015-2017,NC-507,861,2,-40,299,594
2016-2015,NC-509,-94,1,-9,-67,-33
2015-2017,NC-509,181,6,30,48,120
2017-2014,NC-509,-403,16,-36,-69,-378
2015-2014,NC-511,-115,-10,-123,-44,-15
2014-2016,NC-511,-112,14,53,40,-142
2016-2017,NC-511,220,27,30,115,48
2014-2015,NC-513,-11,0,-9,-6,2
2015-2017,NC-513,68,3,-1,-10,78
2017-2016,NC-513,-52,2,-9,2,-54
2015-2014,NC-516,62,36,-7,-10,52
2014-2016,NC-516,-138,-64,-21,14,-92
2016-2017,NC-516,113,15,54,-5,62
2016-2017,ND-500,-87,-156,-2,62,130
2017-2014,ND-500,-43,587,-77,46,-663
2014-2015,ND-500,338,100,-17,-29,380
2014-2016,NE-500,-83,-8,-63,-18,6
2016-2017,NE-500,124,-60,0,12,138
2017-2015,NE-500,-91,21,58,-28,-92
2017-2014,NE-501,290,5,126,-32,188
2014-2015,NE-501,-483,-9,-145,51,-381
2015-2016,NE-501,85,13,-10,22,44
2016-2014,NE-502,-86,-2,1,-36,-49
2014-2015,NE-502,89,25,-6,21,49
2015-2017,NE-502,-115,-31,34,-13,-105
2014-2015,NH-500,26,34,-14,-36,37
2015-2017,NH-500,358,-17,168,36,209
2017-2016,NH-500,-425,9,-179,6,-211
2015-2016,NH-501,34,5,39,27,-22
2016-2017,NH-501,86,6,-21,12,94
2017-2014,NH-501,-117,59,-22,6,-160
2016-2017,NH-502,62,35,18,4,-6
2017-2015,NH-502,-95,-43,-37,10,-17
2015-2014,NH-502,-28,12,6,-42,-8
2014-2015,NJ-500,-71,-5,-28,-56,-18
2015-2017,NJ-500,198,0,19,51,157
2017-2016,NJ-500,-150,0,-34,-87,-43
2016-2014,NJ-501,-113,0,-18,4,-29
2014-2015,NJ-501,141,0,38,69,49
2015-2017,NJ-501,9,0,7,-74,-45
2017-2015,NJ-502,-140,0,10,2,-198
2015-2016,NJ-502,102,0,-45,-30,158
2016-2014,NJ-502,-153,0,19,30,-185
2016-2014,NJ-503,-217,-2,77,72,-169
2014-2015,NJ-503,253,7,51,59,148
2015-2017,NJ-503,-714,-10,-74,-61,-650
2014-2015,NJ-504,-365,4,-200,-4,-158
2015-2016,NJ-504,123,-4,-104,-3,251
2016-2017,NJ-504,154,12,242,28,-136
2015-2014,NJ-506,-19,0,-10,7,31
2014-2017,NJ-506,330,0,133,-19,119
2017-2016,NJ-506,-236,0,-137,34,-78
2014-2015,NJ-507,188,0,17,-7,160
2015-2016,NJ-507,23,0,-61,-1,138
2016-2017,NJ-507,221,0,14,65,119
2016-2017,NJ-508,42,0,36,51,-57
2017-2015,NJ-508,22,0,12,-1,-4
2015-2014,NJ-508,209,0,48,3,130
2016-2015,NJ-509,-22,0,-2,6,-21
2015-2017,NJ-509,141,0,22,6,88
2017-2014,NJ-509,-147,0,-16,-5,-87
2014-2017,NJ-510,-447,7,-123,-30,-316
2017-2015,NJ-510,-26,-7,-2,41,-93
2015-2016,NJ-510,13,0,-17,-77,93
2015-2014,NJ-511,-118,0,-13,6,-97
2014-2017,NJ-511,441,0,57,3,338
2017-2016,NJ-511,-208,0,-56,6,-145
2015-2014,NJ-512,-11,0,0,0,-11
2014-2016,NJ-512,13,0,0,0,13
2016-2017,NJ-512,-13,0,0,0,-28
2016-2015,NJ-513,131,0,15,19,108
2015-2014,NJ-513,-137,0,-11,-6,-123
2014-2017,NJ-513,33,0,0,-12,40
2015-2014,NJ-514,67,10,28,19,14
2014-2016,NJ-514,-12,-10,-56,-14,69
2016-2017,NJ-514,-76,0,6,-8,-104
2017-2016,NJ-515,-129,0,-34,-17,-75
2016-2015,NJ-515,-13,0,40,9,-48
2015-2014,NJ-515,-74,0,8,28,-73
2014-2016,NJ-516,22,0,-8,-7,32
2016-2015,NJ-516,11,0,31,3,-29
2015-2017,NJ-516,1,0,-38,3,-41
2015-2016,NM-500,-567,49,45,-10,-651
2016-2014,NM-500,2525,-580,-48,72,3083
2014-2017,NM-500,-958,832,384,4,-2226
2015-2017,NM-501,424,-5,-62,51,104
2017-2014,NM-501,-708,-1,77,8,-459
2014-2016,NM-501,819,-1,-93,-25,575
2015-2014,NV-500,-1959,-113,-244,-266,-1336
2014-2016,NV-500,5317,77,813,382,4045
2016-2017,NV-500,-3719,-9,67,-528,-3249
2017-2014,NV-501,27,-369,40,-178,534
2014-2015,NV-501,171,16,67,43,45
2015-2016,NV-501,-55,34,14,56,-159
2016-2014,NV-502,-405,-16,-200,-34,-165
2014-2015,NV-502,166,-11,20,-8,156
2015-2017,NV-502,208,58,187,78,-61
2014-2017,NY-500,469,44,102,-17,347
2017-2015,NY-500,-253,211,-64,-11,-401
2015-2016,NY-500,272,-146,108,-9,295
2017-2016,NY-503,-137,-3,-63,-32,-41
2016-2015,NY-503,-125,-5,-56,-185,131
2015-2014,NY-503,-16,0,127,15,-157
2017-2015,NY-504,41,0,-6,10,30
2015-2016,NY-504,-13,0,4,-10,7
2016-2014,NY-504,-7,0,-6,0,-35
2017-2016,NY-505,51,-18,90,24,30
2016-2014,NY-505,-1225,-19,-248,-114,-988
2014-2015,NY-505,676,5,147,173,397
2016-2014,NY-507,41,0,9,39,-29
2014-2017,NY-507,121,0,28,30,59
2017-2015,NY-507,-110,0,-23,-63,-13
2016-2014,NY-508,-1298,0,-207,-75,-1015
2014-2015,NY-508,844,6,61,21,725
2015-2017,NY-508,-348,1,10,36,-293
2014-2015,NY-510,-33,0,-24,4,-23
2015-2017,NY-510,90,0,26,-4,79
2017-2016,NY-510,-68,0,-18,5,-37
2015-2016,NY-511,145,-4,-17,21,97
2016-2014,NY-511,-50,0,-31,-8,-12
2014-2017,NY-511,27,-1,95,-3,-85
2016-2014,NY-512,-176,0,-77,-26,-62
2014-2017,NY-512,183,0,36,30,85
2017-2015,NY-512,-83,0,31,-35,-70
2014-2016,NY-513,12,-3,-7,25,62
2016-2015,NY-513,-48,0,27,-24,-33
2015-2017,NY-513,60,0,-39,24,36
2015-2016,NY-514,-76,0,-23,-9,-80
2016-2017,NY-514,22,0,8,4,37
2017-2014,NY-514,54,0,-7,-4,37
2016-2015,NY-516,-51,0,11,15,-47
2015-2014,NY-516,-37,0,-13,-11,-32
2014-2017,NY-516,103,0,18,-14,97
2017-2014,NY-518,-192,-3,-20,2,-155
2014-2016,NY-518,33,3,24,-7,32
2016-2015,NY-518,30,-3,-14,8,-8
2016-2015,NY-519,27,1,16,-5,10
2015-2017,NY-519,-15,0,-11,10,-35
2017-2014,NY-519,-3,-7,6,-27,27
2015-2016,NY-520,28,0,-2,-1,-25
2016-2017,NY-520,57,0,-1,-3,116
2017-2014,NY-520,-49,0,12,0,-57
2016-2017,NY-522,61,0,-21,3,-183
2017-2014,NY-522,-22,6,7,-3,51
2014-2015,NY-522,-24,2,-10,10,1
2015-2014,NY-523,-46,0,38,15,-83
2014-2016,NY-523,193,10,-32,46,90
2016-2017,NY-523,-89,-5,1,-49,0
2014-2016,NY-600,21931,-127,8657,-82,13714
2016-2015,NY-600,-28981,-2353,-9375,-55,-17946
2015-2017,NY-600,32584,2025,7982,75,23011
2014-2016,NY-601,189,0,36,21,138
2016-2017,NY-601,46,0,-18,8,48
2017-2015,NY-601,-174,0,-18,-27,-131
2015-2014,NY-602,-6,2,-11,-28,62
2014-2017,NY-602,135,0,-72,46,147
2017-2016,NY-602,21,3,94,-22,-91
2017-2014,NY-603,-2620,-14,-291,-233,-2161
2014-2016,NY-603,1722,13,424,185,1216
2016-2015,NY-603,-1106,-5,-373,-132,-689
2015-2014,NY-604,16,-3,-456,-14,-35
2014-2016,NY-604,12,7,455,4,116
2016-2017,NY-604,-112,-7,-500,-36,-92
2015-2014,NY-606,1,0,43,4,-6
2014-2017,NY-606,-15,0,21,16,-47
2017-2016,NY-606,25,0,-55,-13,66
2015-2017,NY-607,-32,0,-34,-11,-1
2017-2014,NY-607,54,3,0,19,37
2014-2016,NY-607,-8,-3,5,12,-12
2016-2017,NY-608,105,5,18,36,26
2017-2014,NY-608,-27,-5,43,-47,3
2014-2015,NY-608,-22,0,-31,20,2
2016-2015,OH-500,-675,-3,-217,6,-467
2015-2017,OH-500,-552,3,-211,-17,-421
2017-2014,OH-500,2290,21,952,54,1333
2015-2014,OH-501,-637,8,-65,-23,-543
2014-2016,OH-501,1047,-5,69,29,899
2016-2017,OH-501,392,3,16,-27,357
2016-2014,OH-502,494,-26,-97,-7,594
2014-2015,OH-502,-817,18,-8,-1,-733
2015-2017,OH-502,414,14,41,22,291
2017-2015,OH-503,-1108,-14,-32,-139,-911
2015-2014,OH-503,-11,5,134,29,-137
2014-2016,OH-503,416,26,-181,36,536
2017-2014,OH-504,-145,0,-82,-12,17
2014-2016,OH-504,-74,0,2,7,-93
2016-2015,OH-504,77,7,10,-4,62
2014-2016,OH-505,-56,-2,8,45,-255
2016-2017,OH-505,144,-1,-50,-56,408
2017-2015,OH-505,-5,3,120,13,-283
2016-2015,OH-506,-17,-40,-10,-12,4
2015-2017,OH-506,63,83,-55,-3,47
2017-2014,OH-506,42,-108,212,0,-159
2014-2015,OH-507,1222,-7,-16,100,1237
2015-2016,OH-507,590,0,117,-33,64
2016-2017,OH-507,598,10,-37,-6,488
2017-2016,OH-508,256,2,141,-5,126
2016-2015,OH-508,-77,-5,-27,0,-135
2015-2014,OH-508,16,5,20,4,81
2016-2015,OK-500,19,30,-41,3,-60
2015-2014,OK-500,57,-82,214,57,-77
2014-2017,OK-500,23,119,-152,-48,141
2017-2014,OK-501,448,6,404,68,-123
2014-2015,OK-501,600,17,-92,51,672
2015-2016,OK-501,-209,-20,-311,-25,149
2017-2015,OK-502,-1498,34,164,112,-1814
2015-2014,OK-502,-1023,-146,95,-5,-1092
2014-2016,OK-502,251,95,-205,-95,589
2016-2014,OK-503,142,77,172,62,-81
2014-2015,OK-503,-201,2,-11,66,-197
2015-2017,OK-503,22,-102,-182,-139,508
2016-2014,OK-504,83,-6,-2,23,14
2014-2017,OK-504,-84,-3,-62,-21,58
2017-2015,OK-504,54,7,56,23,-27
2017-2015,OK-505,131,88,98,7,322
2015-2016,OK-505,-114,-104,-22,13,-41
2016-2014,OK-505,240,559,19,20,-213
2014-2016,OK-506,584,-46,-39,6,274
2016-2017,OK-506,123,-26,-94,1,540
2017-2015,OK-506,-427,59,69,11,-660
2017-2014,OK-507,-47,-61,220,15,-149
2014-2015,OK-507,495,54,-72,-5,626
2015-2016,OK-507,245,66,296,1,-127
2015-2014,OR-500,97,-19,81,2,47
2014-2017,OR-500,259,10,-119,18,337
2017-2016,OR-500,-131,44,16,-38,-167
2017-2015,OR-501,-406,-31,30,-23,-362
2015-2014,OR-501,-440,-58,-88,2,-280
2014-2016,OR-501,482,105,94,62,190
2017-2014,OR-502,-674,-54,25,-28,-654
2014-2015,OR-502,410,-7,-14,11,453
2015-2016,OR-502,280,66,74,6,134
2014-2017,OR-503,-354,9,-138,-3,-200
2017-2015,OR-503,488,37,89,-1,373
2015-2016,OR-503,-453,-24,-62,-19,-335
2014-2017,OR-505,1756,460,226,42,1007
2017-2016,OR-505,-719,-168,-244,19,-431
2016-2015,OR-505,-670,5,-12,-22,-621
2016-2015,OR-506,-103,-20,-76,4,-48
2015-2017,OR-506,138,17,63,-31,117
2017-2014,OR-506,-434,-37,-50,10,-339
2016-2015,OR-507,-282,-40,-9,-41,-190
2015-2014,OR-507,-16,16,12,-4,-24
2014-2017,OR-507,475,83,-21,2,410
2017-2014,PA-500,606,-14,618,24,5
2014-2016,PA-500,-473,0,-178,-39,-282
2016-2015,PA-500,92,0,-185,23,336
2014-2017,PA-501,187,3,3,20,165
2017-2016,PA-501,-140,-3,-26,-41,-89
2016-2015,PA-501,28,5,28,24,-81
2014-2016,PA-502,229,7,7,-25,177
2016-2017,PA-502,-67,1,72,26,-132
2017-2015,PA-502,-86,-8,-62,-9,37
2015-2016,PA-503,15,0,-15,3,29
2016-2014,PA-503,29,0,50,3,-11
2014-2017,PA-503,24,0,-19,22,45
2015-2016,PA-504,19,7,21,-29,-26
2016-2014,PA-504,41,3,-10,43,18
2014-2017,PA-504,-3,-10,-9,-22,8
2014-2015,PA-505,-150,0,-10,-11,7
2015-2017,PA-505,314,16,17,25,112
2017-2016,PA-505,-162,-13,12,-37,-41
2016-2017,PA-506,45,4,-32,10,79
2017-2015,PA-506,-3,-10,75,-47,-68
2015-2014,PA-506,-280,6,-95,22,-215
2015-2014,PA-508,37,0,11,7,-6
2014-2017,PA-508,-29,6,-12,-10,-22
2017-2016,PA-508,10,-2,5,-4,15
2017-2016,PA-509,-785,54,-198,-136,-488
2016-2014,PA-509,-436,-79,59,-55,-433
2014-2015,PA-509,-149,25,-72,3,170
2014-2015,PA-510,379,33,4,14,327
2015-2017,PA-510,164,3,34,53,154
2017-2016,PA-510,-233,-25,-23,-13,-243
2015-2017,PA-511,9,-7,82,-9,-105
2017-2016,PA-511,3,3,-46,25,13
2016-2014,PA-511,-41,0,-14,-33,47
2017-2016,PA-512,-387,12,-13,-55,-246
2016-2014,PA-512,378,8,85,28,285
2014-2015,PA-512,-425,-17,-160,-36,-279
2016-2015,PA-600,-237,-11,-142,-49,-59
2015-2014,PA-600,-139,0,-11,-1,-79
2014-2017,PA-600,682,6,122,4,540
2015-2014,PA-601,153,1,106,-38,63
2014-2017,PA-601,-190,8,-127,-8,-72
2017-2016,PA-601,-27,-17,-2,-18,7
2014-2015,PA-603,41,0,0,0,28
2015-2017,PA-603,75,4,-12,39,92
2017-2016,PA-603,-66,-4,27,-24,-109
2016-2017,PA-605,0,8,80,-33,-190
2017-2014,PA-605,27,-5,-17,6,58
2014-2015,PA-605,-89,-3,-33,3,-17
2017-2015,PR-502,-1108,-157,118,0,-1069
2015-2016,PR-502,373,-124,-210,0,464
2016-2014,PR-502,-777,0,-56,0,-560
2014-2015,RI-500,7,10,-31,-4,73
2015-2017,RI-500,223,-1,109,-5,178
2017-2016,RI-500,-190,-3,-66,15,-136
2015-2017,SC-500,-309,-82,-139,-27,-127
2017-2014,SC-500,-243,-2,92,-185,-116
2014-2016,SC-500,351,72,31,187,104
2015-2016,SC-501,-146,49,-107,19,-117
2016-2017,SC-501,-1207,146,-283,-87,-1019
2017-2014,SC-501,983,-272,232,3,907
2015-2014,SC-502,-105,77,-17,51,-246
2014-2017,SC-502,-72,-14,-31,78,-105
2017-2016,SC-502,765,-29,24,76,637
2015-2016,SC-503,471,1,37,71,562
2016-2014,SC-503,-284,-3,-63,-203,-122
2014-2017,SC-503,21,9,82,18,-98
2014-2016,SD-500,1343,-36,233,-68,722
2016-2017,SD-500,-239,-1,75,16,61
2017-2015,SD-500,-809,6,-56,69,-671
2015-2016,TN-500,946,-3,227,-61,713
2016-2017,TN-500,-446,25,-192,52,-230
2017-2014,TN-500,-101,-15,-109,40,-84
2015-2017,TN-501,207,8,50,60,97
2017-2014,TN-501,835,10,149,24,654
2014-2016,TN-501,-1008,-7,-123,-40,-862
2014-2015,TN-502,-446,-2,-120,-65,-259
2015-2016,TN-502,154,-7,-86,67,18
2016-2017,TN-502,-45,5,123,-42,25
2017-2014,TN-503,-110,-9,20,-75,-98
2014-2016,TN-503,-207,-9,5,-42,-312
2016-2015,TN-503,-115,11,-40,-13,140
2016-2017,TN-504,495,7,41,-32,471
2017-2015,TN-504,-385,-15,-41,39,-356
2015-2014,TN-504,706,23,115,156,417
2014-2015,TN-506,-595,-68,-35,-50,-439
2015-2016,TN-506,65,-3,27,-30,-115
2016-2017,TN-506,537,47,19,57,549
2016-2014,TN-507,-111,-10,1,-52,56
2014-2017,TN-507,356,14,18,77,218
2017-2015,TN-507,-578,-13,-11,-41,-325
2017-2014,TN-509,-14,-7,62,26,-32
2014-2015,TN-509,-225,-4,-63,1,-198
2015-2016,TN-509,130,8,-5,-34,133
2016-2017,TN-510,41,-5,53,10,13
2017-2014,TN-510,-1048,-20,-96,-174,-752
2014-2015,TN-510,801,13,27,135,588
2015-2017,TN-512,648,-11,118,146,364
2017-2014,TN-512,204,21,-44,-45,290
2014-2016,TN-512,-322,-46,-74,-36,-347
2015-2017,TX-500,123,360,55,246,-692
2017-2014,TX-500,1830,-794,2612,-419,614
2014-2016,TX-500,-1967,958,-2594,287,-687
2014-2017,TX-503,868,4,1087,-2,-253
2017-2015,TX-503,-185,-3,-310,41,102
2015-2016,TX-503,590,-9,390,36,189
2017-2016,TX-600,1545,-247,16,54,1841
2016-2015,TX-600,-1970,-247,66,-421,-1734
2015-2014,TX-600,-311,-20,185,-335,-71
2016-2017,TX-601,-962,46,-30,25,-1009
2017-2015,TX-601,-194,-52,28,-384,203
2015-2014,TX-601,-673,-95,1243,-132,-1676
2015-2014,TX-603,268,-8,49,3,144
2014-2016,TX-603,-247,-48,10,-27,-125
2016-2017,TX-603,367,6,-32,56,320
2015-2017,TX-604,276,15,48,-2,141
2017-2014,TX-604,-226,-19,-24,-23,-239
2014-2016,TX-604,591,6,-17,32,649
2017-2016,TX-607,2324,-162,195,493,2268
2016-2014,TX-607,-5296,-186,-336,-588,-3919
2014-2015,TX-607,2260,-172,439,232,1720
2017-2014,TX-611,-492,2,-10,27,-486
2014-2015,TX-611,487,26,21,16,399
2015-2016,TX-611,-54,-34,0,-47,52
2016-2015,TX-624,-116,-1,-46,-34,-70
2015-2017,TX-624,42,-11,-10,7,-25
2017-2014,TX-624,41,9,26,22,109
2017-2015,TX-700,-749,-180,70,-126,-357
2015-2014,TX-700,803,81,350,-270,647
2014-2016,TX-700,-626,-32,-331,511,-995
2015-2016,TX-701,-81,-5,-43,45,-73
2016-2014,TX-701,59,-5,54,-33,-97
2014-2017,TX-701,-6,6,-46,24,90
2014-2017,UT-500,595,46,-15,-10,578
2017-2016,UT-500,-172,-43,40,16,-208
2016-2015,UT-500,-158,13,-50,-42,-130
2017-2016,UT-503,-524,-57,-73,-33,-388
2016-2015,UT-503,134,-255,-10,11,-23
2015-2014,UT-503,-277,2,-19,-3,-174
2016-2017,UT-504,-355,-3,-8,-14,-345
2017-2014,UT-504,410,-19,19,25,358
2014-2015,UT-504,-118,6,0,-4,-70
2016-2017,VA-500,8,14,-80,39,45
2017-2015,VA-500,-326,-33,55,-193,-314
2015-2014,VA-500,311,-1,40,152,281
2016-2015,VA-501,-150,-24,-1,-12,-92
2015-2017,VA-501,431,17,41,95,323
2017-2014,VA-501,-449,6,-28,-158,-315
2014-2017,VA-502,-201,0,-50,-21,-127
2017-2016,VA-502,108,0,24,-3,91
2016-2015,VA-502,63,8,61,6,-4
2016-2014,VA-503,84,3,52,-35,64
2014-2017,VA-503,64,-1,-59,131,-7
2017-2015,VA-503,-71,-2,51,-134,14
2017-2015,VA-504,-23,27,1,-36,-29
2015-2014,VA-504,71,85,5,12,-16
2014-2016,VA-504,-58,-107,-8,2,-7
2015-2014,VA-505,104,-6,-48,63,43
2014-2016,VA-505,-305,0,42,-152,-138
2016-2017,VA-505,138,2,-9,38,123
2017-2016,VA-507,-71,0,37,-59,-6
2016-2015,VA-507,-1,0,-1,10,-10
2015-2014,VA-507,7,0,-36,34,-15
2016-2017,VA-508,63,5,-3,19,24
2017-2015,VA-508,-31,3,5,-12,0
2015-2014,VA-508,-6,2,-51,-2,59
2015-2016,VA-513,56,-9,-6,0,53
2016-2017,VA-513,-8,-4,8,-4,8
2017-2014,VA-513,-59,6,26,-1,-99
2015-2016,VA-514,32,17,-45,-25,25
2016-2014,VA-514,0,-2,68,-118,126
2014-2017,VA-514,21,5,3,192,-168
2017-2016,VA-521,70,7,8,-15,-45
2016-2015,VA-521,-103,-1,53,11,-82
2015-2014,VA-521,-139,6,-24,-60,-42
2014-2015,VA-600,-1,0,22,2,-25
2015-2017,VA-600,-10,0,-4,-5,-11
2017-2016,VA-600,-21,0,4,-10,-71
2014-2015,VA-601,-73,0,-24,-1,-48
2015-2016,VA-601,37,1,-45,12,69
2016-2017,VA-601,945,-2,68,-2,881
2015-2016,VA-602,508,-3,-3,-15,529
2016-2014,VA-602,-728,18,23,-7,-762
2014-2017,VA-602,1181,-25,-19,11,1214
2015-2016,VA-603,-12,0,-12,-11,11
2016-2014,VA-603,26,0,6,20,0
2014-2017,VA-603,-55,0,4,-13,-46
2015-2017,VA-604,-17,-3,-26,-3,24
2017-2014,VA-604,-42,-4,16,-19,-43
2014-2016,VA-604,-43,11,-1,25,-55
2016-2015,VT-500,-5,-13,-34,33,15
2015-2017,VT-500,-44,32,60,-42,-113
2017-2014,VT-500,-4,-42,-41,20,92
2016-2015,VT-501,36,0,-6,4,38
2015-2014,VT-501,67,8,5,33,17
2014-2017,VT-501,-58,-4,5,-25,-16
2015-2014,WA-500,-853,-50,-218,-92,-524
2014-2017,WA-500,3045,188,592,176,2130
2017-2016,WA-500,-1014,-53,-244,-66,-662
2016-2015,WA-501,-390,-78,-130,35,-130
2015-2017,WA-501,624,444,-120,160,127
2017-2014,WA-501,-2225,-425,237,-257,-1711
2017-2015,WA-502,-109,-14,64,-13,-159
2015-2014,WA-502,-7,5,49,-3,-36
2014-2016,WA-502,121,31,-4,67,40
2016-2017,WA-503,506,96,-185,-7,578
2017-2014,WA-503,-862,-214,81,-140,-562
2014-2015,WA-503,-43,11,177,104,-309
2016-2017,WA-504,121,111,-193,24,172
2017-2015,WA-504,-677,-190,172,-103,-584
2015-2014,WA-504,-143,66,-58,-11,-159
2014-2016,WA-507,636,3,-104,1,747
2016-2015,WA-507,-468,-9,32,-32,-469
2015-2017,WA-507,396,21,3,40,339
2015-2017,WA-508,547,135,-56,-20,500
2017-2014,WA-508,-791,-166,84,13,-725
2014-2016,WA-508,810,105,-5,42,675
2016-2017,WI-500,19,-7,136,27,-70
2017-2015,WI-500,-447,7,-231,-38,-212
2015-2014,WI-500,95,-13,159,-18,-28
2017-2015,WI-501,-868,26,-145,30,-776
2015-2016,WI-501,639,-29,223,-60,490
2016-2014,WI-501,-384,-7,-165,10,-209
2016-2015,WI-502,527,27,-62,-13,579
2015-2014,WI-502,766,96,66,-36,644
