coc_number,coc_name,year,ard_ard,ard_pprn
CO-504,"Colorado Springs,El Paso County",2015,2206284,1955392
CO-504,"Colorado Springs,El Paso County",2016,2386264,2155466
CO-504,"Colorado Springs,El Paso County",2017,2372352,2253795
CO-504,"Colorado Springs,El Paso County",2018,2333697,2409763
CO-504,"Colorado Springs,El Paso County",2019,2335663,2456093
CT-501,New Haven,2012,4005597,4005597
CT-502,Hartford,2012,5460996,5460996
CT-502,Hartford,2013,5741259,
CT-502,Hartford,2014,5987469,2469801
CT-502,Hartford,2015,5997100,2333844
CT-503,"Bridgeport,Stratford,Fairfield",2012,5009659,5009659
CT-503,"Bridgeport,Stratford,Fairfield",2013,5423541,
CT-503,"Bridgeport,Stratford,Fairfield",2014,5251700,2166149
CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County",2015,9118835,3119009
CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County",2016,9895520,3292211
CT-503,"Bridgeport, Stamford,Norwalk,Fairfield County",2017,9895520,3426927
CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County",2018,10238540,3674944
CT-503,"Bridgeport,Stratford,Fairfield",2019,12730594,3922727
CT-505,Connecticut Balance of State,2012,12221996,12221996
CT-505,Connecticut Balance of State,2013,18610425,
CT-505,Connecticut Balance of State,2014,18324368,7545078
CT-505,Connecticut Balance of State,2015,23810559,9095871
CT-505,Connecticut Balance of State,2016,32598460,12092853
CT-505,Connecticut Balance of State,2017,33413421,12418513
CT-505,Connecticut Balance of State,2018,34270359,13270816
CT-505,Connecticut Balance of State,2019,39707468,13117260
CT-506,"Norwalk,Fairfield County",2012,1435560,1435560
CT-506,"Norwalk,Fairfield County",2013,1400730,
CT-506,"Norwalk,Fairfield County",2014,1345609,546896
CT-508,"Stamford,Greenwich",2012,1737903,1737903
CT-508,"Stamford,Greenwich",2013,1721128,
CT-508,"Stamford,Greenwich",2014,1661453,407953
CT-512,City of Waterbury,2012,3363059,3363059
CT-512,City of Waterbury,2013,2145682,
CT-512,City of Waterbury,2014,2126516,1307749
DC-500,District of Columbia,2012,21147177,21147177
DC-500,District of Columbia,2013,20378812,
DC-500,District of Columbia,2014,21249613,9682490
DC-500,District of Columbia,2015,21213697,9403698
DC-500,District of Columbia,2016,20207356,9955694
DC-500,District of Columbia,2017,19774255,10380705
DC-500,District of Columbia,2018,21279618,11098072
DC-500,District of Columbia,2019,22010757,11156461
DE-500,Delaware Statewide,2012,5724189,5724189
DE-500,Delaware Statewide,2013,6437700,
DE-500,Delaware Statewide,2014,6370167,3446056
DE-500,Delaware Statewide,2015,6665403,3475955
DE-500,Delaware Statewide,2016,7629178,3652968
DE-500,Delaware Statewide,2017,7629179,3734461
DE-500,Delaware Statewide,2018,7723605,3993064
DE-500,Delaware Statewide,2019,8017797,3975272
FL-500,"Sarasota,Bradenton,Manatee, Sarasota Counties",2012,855345,855345
FL-500,"Sarasota,Bradenton,Manatee, Sarasota Counties",2013,843901,
FL-500,"Sarasota,Bradenton,Manatee, Sarasota Counties",2014,789833,961248
FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties",2015,773639,2320545
FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties",2016,796249,2509361
FL-500,"Sarasota, Bradenton,Manatee,Sarasota Counties",2017,796249,2633518
FL-500,"Sarasota, Bradenton,Manatee,Sarasota Counties",2018,799101,2815694
FL-500,"Sarasota,Bradenton,Manatee, Sarasota Counties",2019,884214,2822511
FL-501,"Tampa,Hillsborough County",2012,6058043,6058043
FL-501,"Tampa,Hillsborough County",2013,6020102,
FL-501,"Tampa,Hillsborough County",2014,6137014,5494266
FL-501,"Tampa,Hillsborough County",2015,6167246,5567839
FL-501,"Tampa,Hillsborough County",2016,6055045,6260726
FL-501,"Tampa,Hillsborough County",2017,6055045,6566372
FL-501,"Tampa,Hillsborough County",2018,6129972,7020147
FL-501,"Tampa,Hillsborough County",2019,6136796,7418253
FL-502,"St. Petersburg,Clearwater,Largo,Pinellas County",2012,4209046,4209046
FL-502,"St. Petersburg,Clearwater,Largo,Pinellas County",2013,4023748,
FL-502,"St. Petersburg,Clearwater,Largo,Pinellas County",2014,3904578,3047519
FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County",2015,3865749,2991505
FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County",2016,3920283,3192292
FL-502,"St. Petersburg, Clearwater,Largo,Pinellas County",2017,3920282,3387479
FL-502,"St. Petersburg, Clearwater, Largo,PinellasCounty",2018,3957412,3621835
FL-502,"St. Petersburg,Clearwater,Largo,Pinellas County",2019,4010705,3423641
FL-503,Lakeland,2012,1267886,1267886
FL-503,Lakeland,2013,1266347,
FL-503,Lakeland,2014,974191,173464
FL-503,"Lakeland, Winterhaven,Polk County",2015,1587976,2258430
FL-503,"Lakeland, Winterhaven,Polk County",2016,1522617,2464634
FL-503,"Lakeland, Winterhaven,Polk County",2017,1647715,2527864
FL-503,"Lakeland, Winterhaven,Polk County",2018,1787775,2702810
FL-503,"Lakeland, Winterhaven,Polk County",2019,1893571,2824428
FL-504,"Daytona Beach,Daytona,Volusia, Flagler Counties",2012,1494863,1494863
FL-504,"Daytona Beach,Daytona,Volusia, Flagler Counties",2013,1409410,
FL-504,"Daytona Beach,Daytona,Volusia, Flagler Counties",2014,1295913,1482092
FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties",2015,1031012,1604151
FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties",2016,1169059,1729981
FL-504,"Daytona Beach,Daytona,Volusia, Flagler Counties",2017,1255558,1812443
FL-504,"Daytona Beach, Daytona,Volusia, FlaglerCounties",2018,1305347,1940936
FL-504,"Daytona Beach,Daytona,Volusia, Flagler Counties",2019,1362212,1962307
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2012,633230,633230
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2013,625091,
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2014,621146,362591
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2015,621146,410777
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2016,557463,446544
FL-505,"Fort Walton Beach,Okaloosa,Walton Counties",2017,557463,468363
FL-505,"Fort WaltonBeach,Okaloosa, Walton Counties",2018,605695,511937
FL-505,"Fort Walton Beach,Okaloosa, Walton Counties",2019,658416,519763
FL-506,"Tallahassee,Leon County",2012,1259127,1436670
FL-506,"Tallahassee,Leon County",2013,1378078,
FL-506,"Tallahassee,Leon County",2014,1304721,1819312
FL-506,"Tallahassee,Leon County",2015,1356348,1823393
FL-506,"Tallahassee,Leon County",2016,1286972,1968232
FL-506,"Tallahassee,Leon County",2017,1282124,2068067
FL-506,"Tallahassee,Leon County",2018,1291383,2199915
FL-506,"Tallahassee,Leon County",2019,1385763,2143301
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2012,6113242,6113242
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2013,6320580,
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2014,6120595,6322898
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2015,7198175,6491886
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2016,7228991,7112259
FL-507,"Orlando,Orange, Osceola,Seminole Counties",2017,7316769,7473072
FL-507,"Orlando,Orange, Osceola, SeminoleCounties",2018,7326489,7990065
FL-507,"Orlando,Orange, Osceola, Seminole Counties",2019,7829344,8506448
FL-508,"Gainesville,Alachua, Putnam Counties",2012,881416,881416
FL-508,"Gainesville,Alachua, Putnam Counties",2013,763334,
FL-508,"Gainesville,Alachua, Putnam Counties",2014,662242,967772
FL-508,"Gainesville,Alachua, Putnam Counties",2015,665244,961947
FL-508,"Gainesville,Alachua, Putnam Counties",2016,595389,1023682
FL-508,"Gainesville,Alachua, Putnam Counties",2017,645800,1093804
FL-508,"Gainesville,Alachua, Putnam Counties",2018,662578,1159919
FL-508,"Gainesville,Alachua, Putnam Counties",2019,670363,1161583
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2012,1325520,1325520
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2013,1432379,
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2014,1398529,847223
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2015,1448921,907943
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2016,1555733,992581
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2017,1530912,1056089
FL-509,"Fort Pierce,St. Lucie, Indian River, MartinCounties",2018,1629149,1125078
FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties",2019,1661189,1166966
FL-510,"Jacksonville-Duval, Clay Counties",2012,4649394,4649394
FL-510,"Jacksonville-Duval, Clay Counties",2013,5110024,
FL-510,"Jacksonville-Duval, Clay Counties",2014,4531448,4125341
FL-510,"Jacksonville-Duval, Clay Counties",2015,4526804,4160406
FL-510,"Jacksonville-Duval, Clay Counties",2016,4544865,4447951
FL-510,"Jacksonville-Duval, Clay Counties",2017,4311530,4700514
FL-510,"Jacksonville- Duval, Clay Counties",2018,4332319,5031420
FL-510,"Jacksonville-Duval, Clay Counties",2019,4508181,5174318
FL-511,"Pensacola,Escambia, Santa Rosa County",2012,1128341,1347924
FL-511,"Pensacola,Escambia, Santa Rosa County",2013,1004436,
FL-511,"Pensacola,Escambia, Santa Rosa County",2014,948893,1558828
FL-511,"Pensacola,Escambia, Santa Rosa Counties",2015,929354,1507850
FL-511,"Pensacola,Escambia, Santa Rosa Counties",2016,791585,1606730
FL-511,"Pensacola,Escambia, Santa Rosa Counties",2017,736174,1660409
FL-511,"Pensacola,Escambia, Santa Rosa Counties",2018,707257,1768906
FL-511,"Pensacola,Escambia, Santa Rosa County",2019,762337,1637792
FL-512,Saint Johns County,2012,208264,289700
FL-512,Saint Johns County,2013,208264,
FL-512,Saint Johns County,2014,152400,303613
FL-512,St. Johns County,2015,152400,333960
FL-512,St. Johns County,2016,129540,356715
FL-512,St. Johns County,2017,123326,220984
FL-512,St. Johns County,2018,121598,236441
FL-512,Saint Johns County,2019,126214,246433
FL-513,"Palm Bay,Melbourne,Brevard County",2012,860271,860271
FL-513,"Palm Bay,Melbourne,Brevard County",2013,871759,
FL-513,"Palm Bay,Melbourne,Brevard County",2014,828171,552440
FL-513,"Palm Bay, Melbourne,Brevard County",2015,817332,660742
FL-513,"Palm Bay, Melbourne,Brevard County",2016,694732,730978
FL-513,"Palm Bay, Melbourne,Brevard County",2017,616732,763338
FL-513,"Palm Bay, Melbourne,BrevardCounty",2018,666117,816730
FL-513,"Palm Bay,Melbourne,Brevard County",2019,717886,849794
FL-514,"Ocala,Marion County",2012,255201,405456
FL-514,"Ocala,Marion County",2013,243341,
FL-514,"Ocala,Marion County",2014,242225,493964
FL-514,"Ocala,Marion County",2015,241997,1295399
FL-514,"Ocala,Marion County",2016,205373,1400928
FL-514,"Ocala,Marion County",2017,190997,1476772
FL-514,"Ocala,Marion County",2018,245601,1578928
FL-514,"Ocala,Marion County",2019,244761,1501547
FL-515,"Panama City,Bay, Jackson Counties",2012,46083,520977
FL-515,"Panama City,Bay, Jackson Counties",2013,44470,
FL-515,"Panama City,Bay, Jackson Counties",2014,42247,620879
FL-515,"Panama City,Bay, Jackson Counties",2015,41402,642993
FL-515,"Panama City,Bay, Jackson Counties",2016,35192,659990
FL-515,"Panama City,Bay, Jackson Counties",2017,32729,726110
FL-515,"Panama City,Bay, Jackson Counties",2018,30765,763843
FL-515,"Panama City,Bay, Jackson Counties",2019,30765,774341
FL-516,"Winterhaven,Polk County",2012,382447,1481164
FL-516,"Winterhaven,Polk County",2013,683615,
FL-516,"Winterhaven,Polk County",2014,679864,2083506
FL-517,"Hendry, Hardee, Highlands Counties",2012,244205,602603
FL-517,"Hendry, Hardee, Highlands Counties",2013,201534,
FL-517,"Hendry, Hardee, Highlands Counties",2014,201534,681778
FL-517,"Hendry, Hardee, Highlands Counties",2015,197395,699588
FL-517,"Hendry, Hardee, Highlands Counties",2016,169211,728567
FL-517,"Hendry, Hardee, Highlands Counties",2017,157366,768404
FL-517,"Hendry, Hardee, Highlands Counties",2018,158206,804440
FL-517,"Hendry, Hardee, Highlands Counties",2019,160123,812176
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2012,213046,251448
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2013,253784,
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2014,275203,317500
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2015,275203,335226
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2016,346948,348852
FL-518,"Columbia, Hamilton, Lafayette,Suwannee Counties",2017,346948,359466
FL-518,"Columbia, Hamilton, Lafayette,Suwannee Counties",2018,339388,396573
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2019,349022,401109
FL-519,Pasco County,2012,820363,1265346
FL-519,Pasco County,2013,813286,
FL-519,Pasco County,2014,776756,1688740
FL-519,Pasco County,2015,758924,1766436
FL-519,Pasco County,2016,837163,1837332
FL-519,Pasco County,2017,831509,1903620
FL-519,Pasco County,2018,839421,2035171
FL-519,Pasco County,2019,850289,2129232
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2012,437702,640874
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2013,388996,
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2014,371706,887959
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2015,370361,879947
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2016,370361,998803
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2017,420301,1077910
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2018,370361,1141480
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2019,394161,1182211
FL-600,"Miami,Dade County",2012,31977112,31977112
FL-600,"Miami,Dade County",2013,32166801,
FL-600,"Miami,Dade County",2014,32010889,13496252
FL-600,Miami-Dade County,2015,32115472,13138468
FL-600,Miami-Dade County,2016,29027696,14262228
FL-600,Miami-Dade County,2017,29027696,14946113
FL-600,Miami-Dade County,2018,29811201,15979550
FL-600,"Miami,Dade County",2019,30586660,16583716
FL-601,"Ft Lauderdale,Broward County",2012,9920971,9920971
FL-601,"Ft Lauderdale,Broward County",2013,10117394,
FL-601,"Ft Lauderdale,Broward County",2014,10122842,4520391
FL-601,"Ft Lauderdale,Broward County",2015,10132430,4520464
FL-601,"Ft Lauderdale,Broward County",2016,10072946,4835895
FL-601,"Ft Lauderdale,Broward County",2017,10438621,5069466
FL-601,"FtLauderdale,Broward County",2018,9505090,5421670
FL-601,"Ft Lauderdale,Broward County",2019,10970949,5610421
FL-602,"Punta Gorda,Charlotte County",2012,229099,229099
FL-602,"Punta Gorda,Charlotte County",2013,231246,
FL-602,"Punta Gorda,Charlotte County",2014,219683,199175
FL-602,"Punta Gorda,Charlotte County",2015,215289,216903
FL-602,"Punta Gorda,Charlotte County",2016,182132,235623
FL-602,"Punta Gorda,Charlotte County",2017,182132,250871
FL-602,"Punta Gorda,Charlotte County",2018,199572,274728
FL-602,"Punta Gorda,Charlotte County",2019,250568,294012
FL-603,"Ft Myers,Cape Coral,Lee County",2012,2194218,2194218
FL-603,"Ft Myers,Cape Coral,Lee County",2013,2164377,
FL-603,"Ft Myers,Cape Coral,Lee County",2014,2058641,1799125
FL-603,"Ft Myers, Cape Coral,Lee County",2015,2061821,2058516
FL-603,"Ft Myers, Cape Coral,Lee County",2016,1762276,2247531
FL-603,"Ft Myers, Cape Coral,Lee County",2017,1661056,2408142
FL-603,"Ft Myers, Cape Coral,Lee County",2018,1667288,2574926
FL-603,"Ft Myers,Cape Coral,Lee County",2019,1760581,2656082
FL-604,Monroe County,2012,526239,526239
FL-604,Monroe County,2013,531964,
FL-604,Monroe County,2014,499054,252636
FL-604,Monroe County,2015,528063,291885
FL-604,Monroe County,2016,448853,320938
FL-604,Monroe County,2017,471296,390328
FL-604,Monroe County,2018,479542,427553
FL-604,Monroe County,2019,477526,459160
FL-605,"West Palm Beach,Palm Beach County",2012,5452463,5452463
FL-605,"West Palm Beach,Palm Beach County",2013,5666357,
FL-605,"West Palm Beach,Palm Beach County",2014,5500409,4281492
FL-605,"West Palm Beach,Palm Beach County",2015,5391742,4605398
FL-605,"West Palm Beach,Palm Beach County",2016,4696369,4916179
FL-605,"West Palm Beach,Palm Beach County",2017,4799395,5125273
FL-605,"West Palm Beach,Palm Beach County",2018,5478835,5480115
FL-605,"West Palm Beach,Palm Beach County",2019,5630604,5589236
FL-606,"Naples,Collier County",2012,337169,1042165
FL-606,"Naples,Collier County",2013,315368,
FL-606,"Naples,Collier County",2014,298064,1266039
FL-606,"Naples,Collier County",2015,297296,1403066
FL-606,"Naples,Collier County",2016,299792,1526200
FL-606,"Naples,Collier County",2017,358987,1576296
FL-606,"Naples,Collier County",2018,286151,1640161
FL-606,"Naples,Collier County",2019,270734,1730437
GA-500,"Atlanta,Roswell,DeKalb, Fulton Counties",2012,11632020,11632020
GA-500,Atlanta,2013,6771505,
GA-500,Atlanta County,2014,6795590,5415524
GA-500,Atlanta,2015,6874945,4618585
GA-500,Atlanta,2016,6713479,4871670
GA-500,Atlanta,2017,6777940,5050807
GA-500,Atlanta,2018,7041634,5399847
GA-500,Atlanta County,2019,7321928,5265723
GA-501,Georgia Balance of State,2012,12453265,12453265
GA-501,Georgia Balance of State,2013,14009401,
GA-501,Georgia Balance of State,2014,14541605,14497167
GA-501,Georgia Balance of State,2015,15602960,15655848
GA-501,Georgia Balance of State,2016,16041150,17640525
GA-501,Georgia Balance of State,2017,16929821,18464558
GA-501,Georgia Balance of State,2018,17414117,19752620
GA-501,Georgia Balance of State,2019,18649714,19954163
GA-502,Fulton County,2013,2921595,
GA-502,Fulton County,2014,2797895,1288171
GA-502,Fulton County,2015,2773381,1439316
GA-502,Fulton County,2016,2712718,1699470
GA-502,Fulton County,2017,2522828,1792172
GA-502,Fulton County,2018,2495096,1916258
GA-502,Fulton County,2019,2422514,1697090
GA-503,Athens-Clarke County,2012,755513,755513
GA-503,Athens-Clarke County,2013,803335,
GA-503,Athens-Clarke County,2014,670583,322968
GA-503,Athens-Clarke County,2015,689244,316042
GA-503,Athens-Clarke County,2016,696892,322555
GA-503,Athens-Clarke County,2017,663759,340559
GA-503,Athens-Clarke County,2018,709605,364380
GA-503,Athens-Clarke County,2019,740693,361361
GA-504,Augusta,2012,677204,1091275
GA-504,Augusta,2013,838964,
GA-504,Augusta,2014,710169,1199939
GA-504,Augusta-Richmond County,2015,709617,1146459
GA-504,Augusta-Richmond County,2016,604090,1224931
GA-504,Augusta-Richmond County,2017,604090,1262648
GA-504,Augusta- Richmond County,2018,607258,1349904
GA-504,Augusta,2019,615226,1299407
GA-505,"Columbus-Muscogee,Russell County",2012,1376456,1376456
GA-505,"Columbus-Muscogee,Russell County",2013,1360074,
GA-505,"Columbus-Muscogee,Russell County",2014,1279722,1090511
GA-505,"Columbus-Muscogee,Russell County",2015,1274573,1016818
GA-505,"Columbus-Muscogee,Russell County",2016,1295712,1071333
GA-505,"Columbus-Muscogee,Russell County",2017,1360498,1126406
GA-505,"Columbus- Muscogee,Russell County",2018,1360522,1070068
GA-505,"Columbus-Muscogee,Russell County",2019,1483591,1259359
GA-506,"Marietta,Cobb County",2012,2009677,2009677
GA-506,"Marietta,Cobb County",2013,2199754,
GA-506,"Marietta,Cobb County",2014,2043004,2125903
GA-506,"Marietta,Cobb County",2015,2057749,2267992
GA-506,"Marietta,Cobb County",2016,2132318,2412880
GA-506,"Marietta,Cobb County",2017,2079724,2576314
GA-506,"Marietta,Cobb County",2018,2123692,2754533
GA-506,"Marietta,Cobb County",2019,2218833,2702040
GA-507,"Savannah,Chatham County",2012,3756386,3756386
GA-507,"Savannah,Chatham County",2013,3940548,
GA-507,"Savannah,Chatham County",2014,3841550,1599758
GA-507,"Savannah,Chatham County",2015,4007707,1582329
GA-507,"Savannah,Chatham County",2016,3507581,1692793
GA-507,"Savannah,Chatham County",2017,3284537,1733935
GA-507,"Savannah,ChathamCounty",2018,3168106,1851688
GA-507,"Savannah,Chatham County",2019,3357485,1869819
GA-508,DeKalb County,2013,3772091,
GA-508,DeKalb County,2014,3768636,3334682
GA-508,DeKalb County,2015,3821213,3113356
GA-508,DeKalb County,2016,4537067,3439009
GA-508,DeKalb County,2017,4645806,3570808
GA-508,DeKalb County,2018,4866729,3817572
GA-508,DeKalb County,2019,4998875,3847197
GU-500,Guam,2012,1254821,1254821
GU-500,Guam,2013,1341264,
GU-500,Guam,2014,1338096,1290127
GU-500,Guam,2015,1346148,1236101
GU-500,Guam,2016,1082174,1319776
GU-500,Guam,2017,1082174,1369204
GU-500,Guam,2018,1054700,1467492
GU-500,Guam,2019,1095910,1492579
HI-500,Hawaii Balance of State,2012,2003932,2003932
HI-500,Hawaii Balance of State,2013,1823151,
HI-500,Hawaii Balance of State,2014,1719287,1187244
HI-500,Hawaii Balance of State,2015,1932112,1237030
HI-500,Hawaii Balance of State,2016,2004278,1302640
HI-500,Hawaii Balance of State,2017,2157800,1341880
HI-500,Hawaii Balance of State,2018,2344347,1435735
HI-500,Hawaii Balance of State,2019,2542866,1420407
HI-501,Honolulu,2012,9603854,9603854
HI-501,Honolulu,2013,10042420,
HI-501,Honolulu,2014,9897231,5243631
HI-501,Honolulu City and County,2015,9886729,5110994
HI-501,Honolulu City and County,2016,9099981,5281046
HI-501,Honolulu City and County,2017,9099981,5489286
HI-501,Honolulu City and County,2018,9080553,5868627
HI-501,Honolulu,2019,9210982,5888780
IA-500,"Sioux City,Dakota, Woodbury Counties",2012,839004,1032697
IA-500,"Sioux City,Dakota, Woodbury Counties",2013,898523,
IA-500,"Sioux City,Dakota, Woodbury Counties",2014,866636,1178534
IA-500,"Sioux City,Dakota, Woodbury Counties",2015,871142,1139877
IA-500,"Sioux City,Dakota, Woodbury Counties",2016,715112,1204301
IA-500,"Sioux City,Dakota, Woodbury Counties",2017,712980,1276795
IA-500,"Sioux City,Dakota, Woodbury Counties",2018,722532,1361977
IA-500,"Sioux City,Dakota, Woodbury Counties",2019,741468,1367847
IA-501,Iowa Balance of State,2012,4774376,6204930
IA-501,Iowa Balance of State,2013,4764672,
IA-501,Iowa Balance of State,2014,4683039,7051134
IA-501,Iowa Balance of State,2015,4762896,6931246
IA-501,Iowa Balance of State,2016,4376990,7270560
IA-501,Iowa Balance of State,2017,4537320,7482344
IA-501,Iowa Balance of State,2018,4745983,8010048
IA-501,Iowa Balance of State,2019,4804085,8123933
IA-502,"Des Moines,Polk County",2012,2900715,2900715
IA-502,"Des Moines,Polk County",2013,2767745,
IA-502,"Des Moines,Polk County",2014,2806182,2646244
IA-502,"Des Moines,Polk County",2015,2935891,2672222
IA-502,"Des Moines,Polk County",2016,3120718,2894381
IA-502,"Des Moines,Polk County",2017,3335661,3018788
IA-502,"Des Moines,Polk County",2018,3315621,3221326
IA-502,"Des Moines,Polk County",2019,3438512,3243401
ID-500,"Boise,Ada County",2012,1045022,1045022
ID-500,"Boise,Ada County",2013,1022757,
ID-500,"Boise,Ada County",2014,940330,477731
ID-500,"Boise,Ada County",2015,953216,530996
ID-500,"Boise,Ada County",2016,904489,584449
ID-500,"Boise,Ada County",2017,874443,627561
ID-500,"Boise,Ada County",2018,889887,661332
ID-500,"Boise,Ada County",2019,1046625,649680
ID-501,Idaho Balance of State,2012,3001145,3001145
ID-501,Idaho Balance of State,2013,3046291,
ID-501,Idaho Balance of State,2014,3045799,2230164
ID-501,Idaho Balance of State,2015,3081462,2299335
ID-501,Idaho Balance of State,2016,2689798,2442840
ID-501,Idaho Balance of State,2017,2687178,2550776
ID-501,Idaho Balance of State,2018,2720641,2739309
ID-501,Idaho Balance of State,2019,3116383,2746903
IL-500,McHenry County,2012,887762,887762
IL-500,McHenry County,2013,927078,
IL-500,McHenry County,2014,871983,323728
IL-500,McHenry County,2015,909988,332622
IL-500,McHenry County,2016,903633,356682
IL-500,McHenry County,2017,948815,351169
IL-500,McHenry County,2018,927850,375732
IL-500,McHenry County,2019,920259,379015
IL-501,"Rockford,Winnebago, Boone Counties",2012,1618041,1618041
IL-501,"Rockford,Winnebago, Boone Counties",2013,1705278,
IL-501,"Rockford,Winnebago, Boone Counties",2014,1633895,1706739
IL-501,"Rockford,Winnebago, Boone Counties",2015,1606011,1770581
IL-501,"Rockford,Winnebago, Boone Counties",2016,1415764,1837412
IL-501,"Rockford,Winnebago, Boone Counties",2017,1473861,1890210
IL-501,"Rockford,Winnebago,Boone Counties",2018,1453200,2047648
IL-501,"Rockford,Winnebago, Boone Counties",2019,2046239,1960049
IL-502,"Waukegan,North Chicago,Lake County",2012,2061179,2061179
IL-502,"Waukegan,North Chicago,Lake County",2013,2109991,
IL-502,"Waukegan,North Chicago,Lake County",2014,2174246,1851095
IL-502,"Waukegan, North Chicago,Lake County",2015,2289184,1911895
IL-502,"Waukegan, North Chicago,Lake County",2016,2037513,2023591
IL-502,"Waukegan, North Chicago,Lake County",2017,2076630,2077963
IL-502,"Waukegan, North Chicago,Lake County",2018,2002113,2221795
IL-502,"Waukegan,North Chicago,Lake County",2019,2254639,2240170
IL-503,"Champaign,Urbana,Rantoul,Champaign County",2012,883768,883768
IL-503,"Champaign,Urbana,Rantoul,Champaign County",2013,861712,
IL-503,"Champaign,Urbana,Rantoul,Champaign County",2014,859069,464292
IL-503,"Champaign, Urbana, Rantoul,Champaign County",2015,843875,456502
IL-503,"Champaign, Urbana, Rantoul,Champaign County",2016,731744,478708
IL-503,"Champaign, Urbana,Rantoul,Champaign County",2017,688451,486899
IL-503,"Champaign, Urbana, Rantoul,ChampaignCounty",2018,692843,515834
IL-503,"Champaign,Urbana,Rantoul,Champaign County",2019,703314,563363
IL-504,Madison County,2012,2193157,2193157
IL-504,Madison County,2013,2224505,
IL-504,Madison County,2014,2099239,1109211
IL-504,Madison County,2015,2057290,1154915
IL-504,Madison County,2016,1770523,1284524
IL-504,Madison County,2017,1838647,1342063
IL-504,Madison County,2018,1814852,1435152
IL-504,Madison County,2019,1786998,1427742
IL-506,"Joliet,Bolingbrook,Will County",2012,3045253,3045253
IL-506,"Joliet,Bolingbrook,Will County",2013,3243351,
IL-506,"Joliet,Bolingbrook,Will County",2014,3222369,873700
IL-506,"Joliet, Bolingbrook,Will County",2015,3432952,1572851
IL-506,"Joliet, Bolingbrook,Will County",2016,3416291,1681079
IL-506,"Joliet, Bolingbrook,Will County",2017,3649789,1784835
IL-506,"Joliet, Bolingbrook,Will County",2018,3966130,1948115
IL-506,"Joliet,Bolingbrook,Will County",2019,4029727,1918715
IL-507,"Peoria,Perkin,Fulton, Peoria, Tazewell, Woodford",2012,1686202,1686202
IL-507,"Peoria,Perkin,Fulton, Peoria, Tazewell, Woodford",2013,1695115,
IL-507,"Peoria,Perkin,Fulton, Peoria, Tazewell, Woodford",2014,1654880,1614774
IL-507,"Peoria, Pekin,Fulton,Tazewell, Peoria, Woodford Counties",2015,1653476,1588504
IL-507,"Peoria, Pekin,Fulton,Tazewell, Peoria, Woodford Counties",2016,1736750,1693111
IL-507,"Peoria, Pekin,Fulton, Tazewell,Peoria, Woodford Counties",2017,1736750,1742656
IL-507,"Peoria, Pekin,Fulton, Tazewell,Peoria, Woodford Counties",2018,1738227,1847999
IL-507,"Peoria,Perkin,Fulton, Peoria, Tazewell, Woodford",2019,1746846,1864140
IL-508,"East Saint Louis,Belleville,Saint Clair County",2012,2800809,2800809
IL-508,"East Saint Louis,Belleville,Saint Clair County",2013,3187033,
IL-508,"East Saint Louis,Belleville,Saint Clair County",2014,3168123,1954378
IL-508,"East St. Louis, Belleville,St. Clair County",2015,3169354,1947622
