coc_number,coc_name,year,ard_ard,ard_pprn
AR-508,Fort Smith,2016,0,604639
AR-512,"Boone, Baxter, Marion, Newton Counties",2012,0,162303
AR-512,"Boone, Baxter, Marion, Newton Counties",2016,0,218738
AR-512,"Boone, Baxter, Marion, Newton Counties",2017,0,232682
AS-500,American Samoa,2019,0,459338
AZ-500,Arizona Balance of State,2012,3824600,3824600
AZ-500,Arizona Balance of State,2013,4063055,
AZ-500,Arizona Balance of State,2014,4200745,2669928
AZ-500,Arizona Balance of State,2015,4216369,2793480
AZ-500,Arizona Balance of State,2016,3883936,3340318
AZ-500,Arizona Balance of State,2017,3883471,3517453
AZ-500,Arizona Balance of State,2018,3880375,3763471
AZ-500,Arizona Balance of State,2019,3912060,3821458
AZ-501,"Tucson,Pima County",2012,8992596,8992596
AZ-501,"Tucson,Pima County",2013,9014039,
AZ-501,"Tucson,Pima County",2014,8653306,5240626
AZ-501,"Tucson,Pima County",2015,8526226,5124218
AZ-501,"Tucson,Pima County",2016,8172322,5588707
AZ-501,"Tucson,Pima County",2017,8169802,5759691
AZ-501,"Tucson,Pima County",2018,8395741,6157719
AZ-501,"Tucson,Pima County",2019,8334299,6172731
AZ-502,"Phoenix,Mesa,Maricopa County",2012,24849265,24849265
AZ-502,"Phoenix,Mesa,Maricopa County",2013,26657888,
AZ-502,"Phoenix,Mesa,Maricopa County",2014,26985153,17108622
AZ-502,"Phoenix, Mesa,Maricopa County",2015,26196615,16700039
AZ-502,"Phoenix, Mesa,Maricopa County",2016,24568339,17949992
AZ-502,"Phoenix, Mesa,Maricopa County",2017,25313828,18851495
AZ-502,"Phoenix, Mesa,Maricopa County",2018,25346823,20155725
AZ-502,"Phoenix,Mesa,Maricopa County",2019,26505040,20654277
CA-500,"San Jose,Santa Clara City & County",2012,11422675,11422675
CA-500,"San Jose,Santa Clara City & County",2013,12760246,
CA-500,"San Jose,Santa Clara City & County",2014,12841118,7343688
CA-500,"San Jose, Santa Clara City & County",2015,17285459,7434871
CA-500,"San Jose, Santa Clara City & County",2016,19009820,8074319
CA-500,"San Jose, Santa Clara City & County",2017,19543610,8484901
CA-500,"San Jose,Santa Clara City & County",2018,21883337,9072201
CA-500,"San Jose, Santa Clara City & County",2019,25405437,8861044
CA-501,San Francisco,2012,22328370,22328370
CA-501,San Francisco,2013,22557932,
CA-501,San Francisco,2014,22476355,11283518
CA-501,San Francisco,2015,26911013,11192223
CA-501,San Francisco,2016,30631104,11952143
CA-501,San Francisco,2017,31486407,12420764
CA-501,San Francisco,2018,40532368,13279111
CA-501,San Francisco,2019,44862542,13293659
CA-502,"Oakland,Alameda County",2012,25680783,25680783
CA-502,"Oakland,Alameda County",2013,24820761,
CA-502,"Oakland,Alameda County",2014,27141145,8969974
CA-502,"Oakland, Berkeley,Alameda County",2015,27273402,8993579
CA-502,"Oakland, Berkeley,Alameda County",2016,28293885,9495123
CA-502,"Oakland, Berkeley,Alameda County",2017,33272919,9940663
CA-502,"Oakland, Berkeley,Alameda County",2018,34329783,10628870
CA-502,"Oakland, Berkeley,Alameda County",2019,36618328,10619719
CA-503,Sacramento City & County,2012,15890201,15890201
CA-503,Sacramento City & County,2013,16501475,
CA-503,Sacramento City & County,2014,16654617,6498463
CA-503,Sacramento City & County,2015,18635759,6592397
CA-503,Sacramento City & County,2016,19146072,7333528
CA-503,Sacramento City & County,2017,19367838,7717645
CA-503,Sacramento City & County,2018,19599048,8251438
CA-503,Sacramento City & County,2019,20327219,8352246
CA-504,"Santa Rosa,Petaluma,Sonoma County",2012,2565988,2565988
CA-504,"Santa Rosa,Petaluma,Sonoma County",2013,2845985,
CA-504,"Santa Rosa,Petaluma,Sonoma County",2014,2744226,1472498
CA-504,"Santa Rosa, Petaluma,Sonoma County",2015,2936645,1497240
CA-504,"Santa Rosa, Petaluma,Sonoma County",2016,2997907,1634172
CA-504,"Santa Rosa, Petaluma,Sonoma County",2017,2986734,1708526
CA-504,"Santa Rosa,Petaluma,Sonoma County",2018,3222762,1826981
CA-504,"Santa Rosa, Petaluma,Sonoma County",2019,3624821,1837011
CA-505,"Richmond,Contra Costa County",2012,9501931,9501931
CA-505,"Richmond,Contra Costa County",2013,9703005,
CA-505,"Richmond,Contra Costa County",2014,10614636,2757570
CA-505,"Richmond,Contra Costa County",2015,10651296,2892055
CA-505,"Richmond,Contra Costa County",2016,10786719,3116312
CA-505,"Richmond,Contra Costa County",2017,12753390,3739418
CA-505,"Richmond,Contra Costa County",2018,14234434,3998407
CA-505,"Richmond,Contra Costa County",2019,15430571,4170806
CA-506,"linas,Monterey, San Benito Counties",2012,2144171,2144171
CA-506,"Salinas,Monterey, San Benito Counties",2013,2256209,
CA-506,"linas,Monterey, San Benito Counties",2014,2111841,2033347
CA-506,"Salinas,Monterey, San Benito Counties",2015,2166656,1826918
CA-506,"Salinas,Monterey, San Benito Counties",2016,1908540,1969320
CA-506,"Salinas,Monterey, San Benito Counties",2017,1908540,2070034
CA-506,"Salinas,Monterey, San Benito Counties",2018,1802763,2217138
CA-506,"Salinas,Monterey, San Benito Counties",2019,1786579,2225238
CA-507,Marin County,2012,2684915,2684915
CA-507,Marin County,2013,2578683,
CA-507,Marin County,2014,2749147,296186
CA-507,Marin County,2015,2846608,319504
CA-507,Marin County,2016,3179036,345744
CA-507,Marin County,2017,3232967,359833
CA-507,Marin County,2018,4195529,385002
CA-507,Marin County,2019,4370656,400442
CA-508,"Watsonville,Santa Cruz City & County",2012,1747208,1747208
CA-508,"Watsonville,Santa Cruz City & County",2013,1800023,
CA-508,"Watsonville,Santa Cruz City & County",2014,1849753,686357
CA-508,"Watsonville,Santa Cruz City & County",2015,2251625,700357
CA-508,"Watsonville,Santa Cruz City & County",2016,1808587,749012
CA-508,"Watsonville,Santa Cruz City & County",2017,2284862,751225
CA-508,"Watsonville,Santa CruzCity & County",2018,2556056,789292
CA-508,"Watsonville,Santa Cruz City & County",2019,3008490,795310
CA-509,Mendocino County,2012,1951684,1951684
CA-509,Mendocino County,2013,1899758,
CA-509,Mendocino County,2014,1757369,266644
CA-509,Mendocino County,2015,2140714,274792
CA-509,Mendocino County,2016,1712020,317439
CA-509,Mendocino County,2017,1649881,312025
CA-509,Mendocino County,2018,1570243,326888
CA-509,Mendocino County,2019,1572595,344560
CA-510,"Turlock,Modesto,Stanislaus County",2012,2891090,2891090
CA-510,"Turlock,Modesto,Stanislaus County",2013,3180771,
CA-510,"Turlock,Modesto,Stanislaus County",2014,3302388,2682900
CA-510,"Turlock, Modesto,Stanislaus County",2015,3473094,2842597
CA-510,"Turlock, Modesto,Stanislaus County",2016,3247145,3078958
CA-510,"Turlock, Modesto,Stanislaus County",2017,3110273,3209610
CA-510,"Turlock, Modesto,StanislausCounty",2018,3135250,3431551
CA-510,"Turlock, Modesto,Stanislaus County",2019,3296809,3395838
CA-511,"Stockton,San Joaquin County",2012,5455387,5455387
CA-511,"Stockton,San Joaquin County",2013,5469159,
CA-511,"Stockton,San Joaquin County",2014,4503844,3960103
CA-511,"Stockton,San Joaquin County",2015,4863668,4009898
CA-511,"Stockton,San Joaquin County",2016,4294001,4285057
CA-511,"Stockton,San Joaquin County",2017,4290724,4321479
CA-511,"Stockton,San Joaquin County",2018,4285672,4620261
CA-511,"Stockton,San Joaquin County",2019,4352004,4667954
CA-512,"Daly,San Mateo County",2012,6439991,6439991
CA-512,"Daly,San Mateo County",2013,5989793,
CA-512,"Daly,San Mateo County",2014,6291583,2396059
CA-512,"Daly City,San Mateo County",2015,7485269,2295738
CA-512,"Daly City,San Mateo County",2016,8160635,2437875
CA-512,"Daly City,San Mateo County",2017,9542856,2469940
CA-512,"Daly City,San Mateo County",2018,11566932,2641250
CA-512,"Daly City,San Mateo County",2019,12409563,2707884
CA-513,"Visalia, Kings, Tulare Counties",2012,633912,1600812
CA-513,"Visalia, Kings, Tulare Counties",2013,1014944,
CA-513,"Visalia, Kings, Tulare Counties",2014,1746477,1822365
CA-513,"Visalia,Kings, Tulare Counties",2015,1742120,1857351
CA-513,"Visalia,Kings, Tulare Counties",2016,2026464,2010367
CA-513,"Visalia,Kings, Tulare Counties",2017,2127729,2049440
CA-513,"Visalia,Kings, Tulare Counties",2018,2257440,2209985
CA-513,"Visalia, Kings, Tulare Counties",2019,2287218,2241690
CA-514,"Fresno,Madera County",2012,5749857,5962537
CA-514,"Fresno,Madera County",2013,6056565,
CA-514,"Fresno,Madera County",2014,7464644,6631242
CA-514,"Fresno City & County,Madera County",2015,7585251,6943028
CA-514,"Fresno City & County,Madera County",2016,8509810,7467435
CA-514,"Fresno City & County,Madera County",2017,8893607,7785449
CA-514,"Fresno City &County,Madera County",2018,9124064,8321975
CA-514,"Fresno,Madera County",2019,10459761,7843054
CA-515,"Roseville,Rocklin,Placer, Nevada Counties",2012,1110259,1110259
CA-515,"Roseville,Rocklin,Placer, Nevada Counties",2013,1162511,
CA-515,"Roseville,Rocklin,Placer, Nevada Counties",2014,1107324,658015
CA-515,"Roseville, Rocklin,Placer, Nevada Counties",2015,1217665,710952
CA-515,"Roseville, Rocklin,Placer, Nevada Counties",2016,1232711,812362
CA-515,"Roseville, Rocklin,Placer,Nevada Counties",2017,1232711,838918
CA-515,"Roseville, Rocklin,Placer, NevadaCounties",2018,1227123,905691
CA-515,"Roseville,Rocklin,Placer, Nevada Counties",2019,1079711,620865
CA-516,"Redding,Shasta County",2012,337173,337173
CA-516,"Redding,Shasta County",2013,373349,
CA-516,"Redding,Shasta County",2014,373349,379054
CA-516,"Redding,Shasta County",2015,373349,898512
CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2016,317347,978591
CA-516,"Redding,Shasta, Siskiyou,Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2017,317347,956267
