cocnumber,of_leas_in_coc,total_hcy_count,hotels_motels,unsheltered,sheltered,doubled_up,cdw,lep,uhy
IL-518,91,1664,55,11,165,1132,296,97,149
IL-519,36,697,44,,91,408,139,32,42
IL-520,127,4859,82,39,242,3318,1028,27,652
IN-502,234,12985,566,96,1983,9074,2150,570,791
IN-503,39,5254,389,3,464,4204,666,320,342
KS-502,11,2556,115,21,362,2014,435,355,202
KS-503,5,554,5,,72,457,102,61,15
KS-505,6,1103,60,5,111,869,100,167,111
KS-507,140,3849,184,90,361,2700,743,385,472
KY-500,167,21980,631,1497,1277,17630,4925,537,2764
KY-501,1,5766,224,1689,830,3023,765,1633,202
LA-500,11,2136,214,52,169,1693,273,,262
LA-502,8,2991,172,89,292,2438,422,,583
LA-503,60,4052,67,21,172,3294,591,3,340
LA-505,13,583,30,,28,445,91,,5
LA-506,6,7812,278,297,2814,4423,1493,45,310
LA-507,8,1937,21,,351,1268,334,,191
LA-508,5,1174,14,28,40,790,176,3,255
LA-509,32,7465,335,241,603,6046,1204,16,292
MA-500,20,3343,93,7,2674,516,824,1302,50
MA-502,2,1053,22,,415,616,187,500,381
MA-503,15,401,26,5,71,236,95,38,22
MA-504,22,2570,58,,1422,1048,612,640,79
MA-505,4,1033,,,333,647,274,376,91
MA-506,48,4801,125,21,1338,3129,1214,1922,122
MA-507,34,521,,,140,250,168,33,51
MA-508,4,752,59,,360,323,177,237,3
MA-509,3,234,10,,75,149,71,29,
MA-510,24,1255,98,15,437,661,381,128,18
MA-511,30,1161,85,5,454,552,344,131,25
MA-515,4,438,29,4,183,210,86,124,
MA-516,40,1942,168,27,741,861,538,547,70
MA-517,2,139,6,,77,56,37,37,7
MA-519,19,506,30,4,169,272,128,39,4
MD-500,1,85,,,21,54,24,,9
MD-501,2,2659,,,158,2397,478,114,6
MD-502,1,411,72,41,75,223,84,,
MD-503,2,1163,96,9,104,954,204,73,254
MD-504,1,487,106,11,94,276,79,44,73
MD-505,1,3009,215,24,225,2545,531,465,583
MD-506,1,192,39,8,48,97,37,6,23
MD-507,1,1001,101,3,62,835,211,16,4
MD-508,3,1006,136,13,82,752,161,35,165
MD-509,1,829,104,13,59,653,159,47,123
MD-510,1,39,,,,,,,
MD-511,5,743,29,3,64,630,77,141,67
MD-512,1,812,151,9,122,530,125,21,110
MD-513,3,1193,48,31,122,903,170,74,137
MD-600,1,2336,127,10,142,2057,301,611,620
MD-601,1,1485,194,3,163,1125,286,434,146
ME-500,101,2418,230,55,446,1329,717,272,455
MI-500,323,14700,436,119,1855,10512,3068,593,2250
MI-501,41,1780,62,17,219,1222,244,195,68
MI-502,65,2621,146,23,393,1846,449,93,238
MI-503,35,1717,238,8,191,1179,404,41,159
MI-504,44,1910,166,11,199,1413,417,72,160
MI-505,35,1825,115,15,307,1265,357,41,246
MI-506,43,2474,302,48,481,1561,490,261,304
MI-507,15,1340,142,3,308,797,229,22,48
MI-508,19,1382,127,22,230,932,285,49,132
MI-509,17,1044,29,10,219,744,262,53,134
MI-510,17,631,17,4,206,324,132,6,55
MI-511,12,502,3,,65,381,117,13,79
MI-512,17,1129,44,55,91,832,291,48,249
MI-513,12,236,3,,16,159,77,,19
