Year,State,coc_number,spm0_coc_award_amount,HMIS Count,SPM4 Stayers,SPM4 Leavers,SPM5,SPM7,coc_category,total_returns,0_to_6_month_returns,6_to_12_month_returns,12_to_24_month_returns,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017,CA,CA-518,1247979.0,762.0,48.0,62.0,467.0,0.0,Other Urban CoCs,221,17,11,5,-46.0,-6.0,-14.0,31.0,-59.0
2017,CA,CA-519,542712.0,1243.0,34.0,25.0,859.0,0.0,Rural CoCs,301,48,23,33,148.0,-3.0,-4.0,23.0,183.0
2017,CA,CA-520,712751.0,497.0,30.0,12.0,263.0,9.0,Suburban CoCs,48,4,3,7,520.0,-17.0,4.0,25.0,801.0
2017,CA,CA-521,476153.0,327.0,17.0,16.0,215.0,13.0,Suburban CoCs,300,26,28,7,21.0,2.0,-39.0,66.0,-51.0
2017,CA,CA-522,834362.0,660.0,36.0,83.0,417.0,44.0,Rural CoCs,366,19,18,49,142.0,25.0,-6.0,-9.0,98.0
2017,CA,CA-525,9817.0,256.0,0.0,0.0,195.0,3.0,Suburban CoCs,40,8,3,2,85.0,15.0,-21.0,1.0,25.0
2017,CA,CA-526,301121.0,265.0,12.0,7.0,207.0,0.0,Rural CoCs,380,12,6,16,-782.0,6.0,-649.0,15.0,-212.0
2017,CA,CA-600,108148295.0,17284.0,4709.0,1646.0,6853.0,884.0,Major Cities,10120,652,384,540,11117.0,2145.0,916.0,1256.0,7015.0
2017,CA,CA-601,19504303.0,9823.0,677.0,1139.0,5556.0,239.0,Major Cities,4962,678,286,357,176.0,12.0,140.0,110.0,1.0
2017,CA,CA-602,22807570.0,4454.0,850.0,407.0,2922.0,47.0,Suburban CoCs,1976,87,35,80,27.0,59.0,-95.0,173.0,-221.0
2017,CA,CA-603,1684716.0,2263.0,113.0,73.0,1260.0,13.0,Suburban CoCs,988,109,44,81,-499.0,24.0,-66.0,17.0,-491.0
2017,CA,CA-604,5376223.0,2437.0,477.0,550.0,1561.0,62.0,Other Urban CoCs,1204,127,87,47,-542.0,16.0,-68.0,81.0,-651.0
2017,CA,CA-606,7801973.0,1228.0,233.0,394.0,873.0,71.0,Major Cities,722,36,11,28,1044.0,5.0,-48.0,-8.0,1095.0
2017,CA,CA-607,3163253.0,810.0,158.0,59.0,604.0,14.0,Other Urban CoCs,266,3,3,9,254.0,23.0,45.0,13.0,173.0
2017,CA,CA-608,9649536.0,4302.0,374.0,533.0,2961.0,413.0,Suburban CoCs,2388,232,121,138,-545.0,159.0,-128.0,209.0,-684.0
2017,CA,CA-609,10066156.0,2898.0,821.0,1407.0,1987.0,185.0,Suburban CoCs,2600,197,106,157,-824.0,-12.0,-80.0,269.0,-1312.0
2017,CA,CA-611,2189139.0,557.0,104.0,79.0,358.0,50.0,Other Urban CoCs,576,11,13,17,342.0,52.0,-8.0,-12.0,698.0
2017,CA,CA-612,2347395.0,260.0,68.0,27.0,180.0,6.0,Other Urban CoCs,111,1,1,0,284.0,2.0,-7.0,9.0,280.0
2017,CA,CA-613,161815.0,96.0,0.0,0.0,331.0,8.0,Suburban CoCs,321,34,44,17,-463.0,6.0,-26.0,29.0,-315.0
2017,CA,CA-614,906615.0,894.0,42.0,15.0,643.0,2.0,Suburban CoCs,161,13,7,4,-78.0,-24.0,12.0,-64.0,-6.0
2017,CO,CO-500,2810881.0,4686.0,677.0,450.0,3140.0,9.0,Rural CoCs,900,68,36,50,5.0,137.0,-108.0,63.0,-153.0
2017,CO,CO-503,24567573.0,8811.0,1572.0,430.0,4953.0,15.0,Major Cities,4105,660,225,218,-2103.0,147.0,-208.0,-539.0,-1481.0
2017,CO,CO-504,2333697.0,5333.0,140.0,150.0,3951.0,0.0,Major Cities,1276,129,80,67,148.0,29.0,87.0,25.0,-25.0
2017,CT,CT-503,10265112.0,1876.0,444.0,191.0,994.0,22.0,Other Urban CoCs,1049,81,60,68,98.0,17.0,9.0,-22.0,73.0
2017,CT,CT-505,34305156.0,7295.0,1559.0,527.0,3849.0,91.0,Suburban CoCs,4265,426,241,254,494.0,19.0,26.0,73.0,410.0
2017,DC,DC-500,21497405.0,16052.0,750.0,160.0,7767.0,286.0,Major Cities,5605,366,237,298,26.0,-6.0,-457.0,150.0,846.0
2017,DE,DE-500,7723605.0,3112.0,272.0,205.0,2283.0,11.0,Suburban CoCs,1278,131,65,81,99.0,16.0,-24.0,-69.0,189.0
2017,FL,FL-500,799101.0,4736.0,45.0,144.0,3055.0,3.0,Suburban CoCs,1073,145,59,54,254.0,20.0,-46.0,44.0,236.0
2017,FL,FL-501,6129972.0,4019.0,185.0,135.0,2718.0,208.0,Suburban CoCs,2139,162,72,130,-104.0,-2.0,26.0,81.0,-209.0
2017,FL,FL-502,3957412.0,9258.0,208.0,241.0,5492.0,579.0,Suburban CoCs,3068,717,184,189,508.0,-17.0,127.0,13.0,385.0
2017,FL,FL-503,1787775.0,2506.0,69.0,95.0,1750.0,9.0,Suburban CoCs,741,67,41,54,-523.0,-111.0,4.0,-6.0,-410.0
2017,FL,FL-504,1305347.0,1541.0,46.0,113.0,1091.0,32.0,Suburban CoCs,1089,96,18,40,184.0,14.0,17.0,2.0,151.0
2017,FL,FL-505,605695.0,224.0,0.0,35.0,186.0,17.0,Suburban CoCs,370,18,3,16,-186.0,-16.0,222.0,-28.0,-364.0
2017,FL,FL-506,1291383.0,3504.0,97.0,20.0,2073.0,59.0,Other Urban CoCs,1012,158,73,71,-192.0,112.0,34.0,3.0,-284.0
2017,FL,FL-507,7326489.0,6034.0,261.0,632.0,3866.0,71.0,Suburban CoCs,2997,319,124,161,-1324.0,-28.0,-215.0,99.0,-1193.0
2017,FL,FL-508,662578.0,1887.0,0.0,10.0,1423.0,77.0,Rural CoCs,951,107,54,45,51.0,-3.0,-1.0,1.0,38.0
2017,FL,FL-509,1629149.0,598.0,176.0,30.0,424.0,23.0,Suburban CoCs,585,45,16,19,227.0,13.0,44.0,45.0,145.0
2017,FL,FL-510,4337190.0,1780.0,159.0,122.0,1801.0,30.0,Major Cities,962,42,33,58,931.0,17.0,47.0,117.0,750.0
2017,FL,FL-511,707257.0,3156.0,34.0,86.0,2132.0,305.0,Suburban CoCs,881,57,38,45,-455.0,0.0,-36.0,-44.0,-375.0
2017,FL,FL-512,121598.0,671.0,8.0,18.0,456.0,1.0,Suburban CoCs,460,33,12,5,72.0,3.0,0.0,-26.0,90.0
2017,FL,FL-513,666117.0,1162.0,90.0,70.0,745.0,8.0,Suburban CoCs,741,43,33,35,292.0,32.0,-10.0,40.0,230.0
2017,FL,FL-514,245601.0,1291.0,803.0,1207.0,0.0,0.0,Suburban CoCs,303,8,4,12,-67.0,9.0,-29.0,11.0,-58.0
2017,FL,FL-515,30765.0,1481.0,0.0,0.0,1184.0,41.0,Rural CoCs,428,30,18,29,9.0,36.0,-2.0,-8.0,-95.0
2017,FL,FL-517,158206.0,60.0,5.0,3.0,66.0,0.0,Rural CoCs,0,0,0,0,151.0,-20.0,69.0,-8.0,-15.0
2017,FL,FL-518,339388.0,651.0,8.0,0.0,510.0,7.0,Rural CoCs,413,178,6,3,68.0,-15.0,-13.0,43.0,89.0
