coc_number,year,giw_hmis_leasing_budget,giw_hmis_rental_assistance_budget,giw_hmis_supportive_services_budget,giw_hmis_operating_budget,giw_hmis_hmis_budget,giw_hmis_administration_budget,giw_hmis_annual_renewal_amount,giw_joint_th_ph_rrh_leasing_budget,giw_joint_th_ph_rrh_rental_assistance_budget,giw_joint_th_ph_rrh_supportive_services_budget,giw_joint_th_ph_rrh_operating_budget,giw_joint_th_ph_rrh_hmis_budget,giw_joint_th_ph_rrh_administration_budget,giw_joint_th_ph_rrh_annual_renewal_amount,giw_ph_leasing_budget,giw_ph_rental_assistance_budget,giw_ph_supportive_services_budget,giw_ph_operating_budget,giw_ph_hmis_budget,giw_ph_administration_budget,giw_ph_annual_renewal_amount,giw_sh_leasing_budget,giw_sh_rental_assistance_budget,giw_sh_supportive_services_budget,giw_sh_operating_budget,giw_sh_hmis_budget,giw_sh_administration_budget,giw_sh_annual_renewal_amount,giw_sso_leasing_budget,giw_sso_rental_assistance_budget,giw_sso_supportive_services_budget,giw_sso_operating_budget,giw_sso_hmis_budget,giw_sso_administration_budget,giw_sso_annual_renewal_amount,giw_sso_non_ce_leasing_budget,giw_sso_non_ce_rental_assistance_budget,giw_sso_non_ce_supportive_services_budget,giw_sso_non_ce_operating_budget,giw_sso_non_ce_hmis_budget,giw_sso_non_ce_administration_budget,giw_sso_non_ce_annual_renewal_amount,giw_th_leasing_budget,giw_th_rental_assistance_budget,giw_th_supportive_services_budget,giw_th_operating_budget,giw_th_hmis_budget,giw_th_administration_budget,giw_th_annual_renewal_amount
AK-500,2019,false,false,false,false,175994,0,175994,0,0,0,0,0,0,0,0,1778556,515791,524124,9312,130741,2958524,0,false,0,0,0,0,0,0,false,368546,0,0,36554,405100,false,false,0,false,false,0,0,0,0,154922,72560,0,13580,241062
AK-501,2019,false,false,false,false,28447,1759,30206,0,39996,23168,0,0,4200,67364,55732,252192,37088,256908,0,22573,624493,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,41847,25466,0,0,67313
AL-500,2019,false,false,false,false,260400,22080,282480,10200,131760,146925,60532,22050,36564,408031,4492661,793800,1355297,394381,41110,583131,7660380,0,false,185000,64922,0,21380,271302,0,false,343312,0,0,34331,377643,false,false,0,false,false,0,0,0,0,121657,87000,0,14605,223262
AL-501,2019,false,false,false,false,162358,11365,173723,0,0,0,0,0,0,0,1151560,514992,728543,239815,1500,136447,2772857,0,false,0,0,0,0,0,118056,false,551658,0,34000,49259,752973,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-502,2019,false,false,false,false,38375,0,38375,0,0,0,0,0,0,0,0,185220,161924,0,12268,21327,380739,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-503,2019,false,false,false,false,146261,10237,156498,0,0,0,0,0,0,0,0,383292,17110,0,0,0,400402,0,false,0,0,0,0,0,0,false,74446,0,0,5641,80087,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AL-506,2019,false,false,false,false,40000,2000,42000,0,0,0,0,0,0,0,0,142560,0,0,0,3180,145740,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,10534,5025,0,0,15559
AL-507,2019,false,false,false,false,128638,2573,131211,0,0,0,0,0,0,0,448089,161940,162389,108334,1858,52865,935475,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AR-500,2019,false,false,false,false,90210,9000,99210,0,0,0,0,0,0,0,414216,2032728,161447,17415,0,153046,2778852,0,false,0,0,0,0,0,0,false,33010,0,0,3301,36311,false,false,0,false,false,0,0,0,0,112827,42000,0,7741,162568
AR-501,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,191820,43729,0,0,8908,244457,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,30960,5214,0,0,3345,39519
AR-503,2019,false,false,false,false,48566,3655,52221,0,48492,65000,855,0,0,114347,0,52296,4717,0,0,0,57013,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,124485,65129,0,9500,199114
AR-505,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,114696,102128,0,0,10875,227699,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,20243,0,0,0,20243
AZ-500,2019,false,false,false,false,200000,13140,213140,165480,77664,86061,0,0,23166,352371,1131620,1691484,260606,46647,0,187570,3317927,0,false,0,0,0,0,0,0,false,26835,0,0,1787,28622,false,false,0,false,false,0,0,0,0,0,0,0,0,0
AZ-501,2019,false,false,false,false,389397,32095,421492,103008,56472,63105,0,0,22269,244854,753640,3825396,1747436,30063,0,481583,6838118,63408,false,305553,36056,0,28228,433245,0,false,0,0,0,0,0,false,false,0,false,false,0,0,91698,71424,200303,6652,0,26513,396590
AZ-502,2019,false,false,false,false,364474,36447,400921,0,268260,67542,0,0,30908,366710,551015,19286184,2096032,1587129,402,1361489,24882251,0,false,0,0,0,0,0,0,false,783061,0,0,72097,855158,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-500,2019,false,false,false,false,913946,50375,964321,0,92664,132063,38422,0,24327,287476,1779637,16103256,3795416,177155,4900,1294764,23155128,0,false,0,0,0,0,0,0,false,120048,0,0,10193,130241,false,false,0,false,false,0,0,274452,0,476254,46901,0,70664,868271
CA-501,2019,false,false,false,false,685298,65323,750621,0,0,0,0,0,0,0,3214175,32521908,3138636,1493086,2287,1984116,42354208,0,false,0,0,0,0,0,0,false,1935579,0,0,169902,2105481,false,false,0,false,false,0,0,10000,0,350444,55969,0,29125,445538
CA-502,2019,false,false,false,false,366269,25638,391907,117696,323508,1170894,1127378,0,255969,2995445,2374450,22526556,3929729,480360,33800,1470779,30815674,0,false,0,0,0,0,0,0,false,1089371,0,0,108937,1198308,false,false,0,false,false,0,0,73500,0,679339,353444,23787,86924,1216994
CA-503,2019,false,false,false,false,258704,14490,273194,0,185760,486711,77607,0,68168,818246,5459317,7275672,3961947,1161470,0,1377373,19235779,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-504,2019,false,false,false,false,175614,12293,187907,0,0,0,0,0,0,0,893536,1377660,482197,182060,0,151470,3086923,0,false,0,0,0,0,0,0,false,327096,0,0,22895,349991,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-505,2019,false,false,false,false,172153,3443,175596,0,0,0,0,0,0,0,3071136,7886376,1665368,645698,44013,725349,14037940,0,false,0,0,0,0,0,0,false,1106396,0,0,110639,1217035,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-506,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,274368,254904,142560,89677,0,47750,809259,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,423616,496497,0,57207,977320
CA-507,2019,false,false,false,false,0,0,0,0,37452,9239,0,0,4545,51236,1457773,1993752,401062,105696,7520,105124,4070927,0,false,0,0,0,0,0,0,false,238175,0,0,10318,248493,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-508,2019,false,false,false,false,85700,5999,91699,0,11280,97121,83139,0,13210,204750,632226,1265280,620898,22280,27648,163739,2732071,0,false,0,0,0,0,0,47544,false,511328,0,11642,43531,614045,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-509,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,1404132,0,0,1171,73980,1479283,0,false,0,0,0,0,0,0,false,85312,0,0,8000,93312,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-510,2019,false,false,false,false,162181,11352,173533,0,0,0,0,0,0,0,1100548,1206240,425842,95388,0,173041,3001059,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,73833,0,40383,0,0,8001,122217
CA-512,2019,false,false,false,false,80110,0,80110,0,0,0,0,0,0,0,0,9951840,1120217,197375,0,562853,11832285,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,159400,0,190867,114376,0,32525,497168
CA-513,2019,false,false,false,false,147587,9946,157533,0,0,0,0,0,0,0,678050,415764,519103,201421,41486,104271,1960095,0,false,0,0,0,0,0,0,false,162390,0,0,7200,169590,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-514,2019,false,false,false,false,311000,11270,322270,0,277560,176051,78516,0,50297,582424,1627928,2642436,2348044,624256,0,483755,7726419,0,false,0,0,0,0,0,0,false,1438113,0,0,137414,1575527,false,false,0,false,false,0,0,0,0,140259,102942,0,9920,253121
CA-515,2019,false,false,false,false,49286,1980,51266,0,0,0,0,0,0,0,0,815916,151586,0,573,60370,1028445,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-516,2019,false,false,false,false,30000,0,30000,0,0,0,0,0,0,0,169283,0,3755,44196,0,14560,231794,0,false,0,0,0,0,0,0,false,61809,0,0,0,61809,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-517,2019,false,false,false,false,34418,1469,35887,0,0,0,0,0,0,0,141247,286332,170097,25976,0,39482,663134,0,false,0,0,0,0,0,0,false,17322,0,0,1732,19054,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-518,2019,false,false,false,false,0,0,0,20184,42180,8108,0,4326,7000,81798,195710,383952,273296,100933,18721,66814,1039426,0,false,0,0,0,0,0,0,false,276666,0,0,27666,304332,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-519,2019,false,false,false,false,97273,9727,107000,0,0,0,0,0,0,0,0,219732,24713,66960,0,19551,330956,0,false,0,0,0,0,0,0,false,93380,0,0,3262,96642,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-520,2019,false,false,false,false,77299,5410,82709,0,0,0,0,0,0,0,201851,52032,163802,150888,2780,31141,602494,0,false,0,0,0,0,0,0,false,33077,0,0,3308,36385,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-521,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,199773,0,105485,82978,1725,25454,415415,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,56374,6752,0,3156,66282
CA-522,2019,false,false,false,false,69500,0,69500,0,0,0,0,0,0,0,257826,272940,82440,79420,4353,38256,735235,0,false,0,0,0,0,0,0,false,28689,0,0,2860,31549,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-525,2019,false,false,false,false,9817,0,9817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-526,2019,false,false,false,false,45455,4545,50000,0,0,1758,0,0,0,1758,109315,134328,58617,30087,2602,20192,355141,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-600,2019,false,false,false,false,1447955,101305,1549260,261960,1885308,1259089,397018,0,328325,4131700,1310320,95794608,6820639,1117920,0,6447741,111491228,0,false,300937,245163,0,38227,584327,0,false,1356856,0,0,122202,1479058,false,false,0,false,false,0,0,132042,0,2265483,628381,0,195582,3221488
CA-601,2019,false,false,false,false,698783,35220,734003,134232,824136,815736,223740,17637,146754,2162235,159666,10771428,3047443,1664994,57236,900859,16601626,97344,false,64717,102190,0,18260,282511,0,false,672000,0,0,35000,707000,false,false,0,false,false,0,0,0,0,100509,207415,0,14263,322187
CA-602,2019,false,false,false,false,592023,58552,650575,0,0,0,0,0,0,0,5165420,11009856,3243670,913380,108102,1390687,21831115,0,false,0,0,0,0,0,0,false,830285,0,0,76954,907239,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-603,2019,false,false,false,false,157995,11055,169050,0,69012,20233,15755,0,9197,114197,0,1066200,340312,45644,0,79158,1531314,0,false,0,0,0,0,0,0,false,118875,0,0,11800,130675,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-604,2019,false,false,false,false,75857,4552,80409,0,0,0,0,0,0,0,43224,3688296,670060,33892,72468,283104,4791044,0,false,0,0,0,0,0,0,false,677590,0,13470,50231,741291,false,false,0,false,false,0,0,0,0,74727,49702,0,8710,133139
CA-606,2019,false,false,false,false,310310,21720,332030,0,0,0,0,0,0,0,2063797,1314672,1412580,348697,55532,348090,5543368,0,false,0,0,0,0,0,0,false,999723,0,0,69977,1069700,false,false,0,false,false,0,0,198476,0,770159,90303,0,73719,1132657
CA-607,2019,false,false,false,false,208468,16910,225378,0,0,0,0,0,0,0,221415,1824816,564944,179548,7769,173985,2972477,0,false,0,0,0,0,0,0,false,247087,0,0,21847,268934,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-608,2019,false,false,false,false,321563,22509,344072,0,0,0,0,0,0,0,939559,4149960,2123825,703525,98748,644957,8660574,0,false,0,0,0,0,0,0,false,682046,0,0,67954,750000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-609,2019,false,false,false,false,238246,11912,250158,0,0,0,0,0,0,0,1105859,5414640,1505656,426211,66154,595811,9114331,0,false,0,0,0,0,0,0,false,366488,0,0,36648,403136,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-611,2019,false,false,false,false,234840,5938,240778,0,0,0,0,0,0,0,186067,819048,513345,151341,21242,79809,1770852,0,false,123666,34258,0,11053,168977,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-612,2019,false,false,false,false,88577,0,88577,0,0,0,0,0,0,0,437315,754296,298059,61386,22000,96394,1669450,0,false,0,0,0,0,0,0,false,577776,0,0,43175,620951,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-613,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,43788,68199,0,5069,4635,121691,0,false,0,0,0,0,0,0,false,40000,0,0,4000,44000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CA-614,2019,false,false,false,false,58000,3160,61160,0,0,0,0,0,0,0,355140,0,208690,45458,0,48691,657979,0,false,0,0,0,0,0,0,false,205387,0,0,15167,220554,false,false,0,false,false,0,0,0,0,0,0,0,0,0
CO-500,2019,false,false,false,false,140058,3071,143129,0,0,0,0,0,0,0,73117,1507584,334705,732206,3602,138591,2789805,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,22059,22694,0,3236,47989
CO-503,2019,false,false,false,false,701973,52837,754810,0,0,0,0,0,0,0,0,19118880,4945947,247492,106694,885874,25304887,0,false,63470,214920,0,14154,292544,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,51162,50087,0,5116,106365
CO-504,2019,false,false,false,false,226844,13099,239943,0,0,0,0,0,0,0,180426,1381944,291108,1873,0,108980,1964331,0,false,0,0,0,0,0,0,false,84112,0,0,5888,90000,false,false,0,false,false,0,0,0,28548,10629,0,0,2212,41389
CT-503,2019,false,false,false,false,156790,7001,163791,0,0,0,0,0,0,0,1048671,6300468,1556549,995990,0,338489,10240167,0,false,0,0,0,0,0,0,false,350406,0,0,12600,363006,false,false,0,false,false,0,0,0,0,91367,265811,0,35717,392895
CT-505,2019,false,false,false,false,279449,14683,294132,0,0,0,0,0,0,0,1908443,26589619,6624065,1007084,13000,1431927,37574137,0,false,0,0,0,0,0,0,false,362550,0,0,24925,387475,false,false,563243,false,false,40851,604095,25104,0,185958,601067,0,46896,859025
DC-500,2019,false,false,false,false,0,0,0,108936,149856,310234,0,0,56442,625468,6765256,6645492,3746682,1569682,0,1111845,19838957,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,313282,44569,0,35784,393635
DE-500,2019,false,false,false,false,95000,1900,96900,27600,103140,55004,0,2250,13518,201512,3284499,413760,767280,2185176,0,272322,6923037,0,false,0,0,0,0,0,0,false,244568,0,0,17320,261888,false,false,0,false,false,0,0,0,0,100273,404034,0,30153,534460
FL-500,2019,false,false,false,false,67800,6775,74575,0,0,0,0,0,0,0,125766,277056,304162,74507,0,28151,809642,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-501,2019,false,false,false,false,226901,11942,238843,0,0,0,0,0,0,0,1082984,2499348,1580013,280881,0,376567,5819793,0,false,0,0,0,0,0,0,false,71060,0,0,7100,78160,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-502,2019,false,false,false,false,227368,13004,240372,0,0,0,0,0,0,0,0,793272,747955,900237,0,154820,2596284,0,false,348665,493838,0,84250,926753,0,false,154757,0,0,13454,168211,false,false,0,false,false,0,0,0,0,36153,41123,0,1809,79085
FL-503,2019,false,false,false,false,110982,7769,118751,0,0,0,0,0,0,0,571554,260016,552051,158559,0,94417,1636597,0,false,0,0,0,0,0,0,false,131548,0,0,6675,138223,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-504,2019,false,false,false,false,113830,8304,122134,0,0,0,0,0,0,0,354702,186924,357061,98674,9309,61655,1068325,0,false,0,0,0,0,0,0,false,160580,0,0,11173,171753,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-505,2019,false,false,false,false,52552,0,52552,0,0,0,0,0,0,0,401007,0,129848,24856,3193,46960,605864,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-506,2019,false,false,false,false,121768,8524,130292,0,0,0,0,0,0,0,976884,27240,181610,5250,0,64487,1255471,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-507,2019,false,false,false,false,315485,22080,337565,0,0,0,0,0,0,0,1188074,4031748,761975,411967,0,396439,6790203,0,false,0,0,0,0,0,0,false,516450,0,0,30677,547127,false,false,0,false,false,0,0,81360,0,62987,0,0,10102,154449
FL-508,2019,false,false,false,false,82285,5076,87361,0,0,0,0,0,0,0,229818,138060,149864,1391,0,31857,550990,0,false,0,0,0,0,0,0,false,29772,0,0,2240,32012,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-509,2019,false,false,false,false,88061,0,88061,0,0,0,0,0,0,0,0,1573128,0,0,0,0,1573128,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-510,2019,false,false,false,false,186969,13371,200340,0,0,0,0,0,0,0,1758346,1190796,707814,15794,10146,250392,3933288,0,false,0,0,0,0,0,15120,false,347651,0,0,11782,374553,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-511,2019,false,false,false,false,133896,10078,143974,0,0,0,0,0,0,0,116418,52512,139629,116852,0,37051,462462,0,false,0,0,0,0,0,29000,false,110811,0,2000,14090,155901,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-512,2019,false,false,false,false,57082,5708,62790,0,0,0,0,0,0,0,0,16800,772,0,0,0,17572,0,false,0,0,0,0,0,0,false,45852,0,0,0,45852,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-513,2019,false,false,false,false,67811,3644,71455,0,24432,20152,750,200,3482,49016,138000,0,165400,188140,0,39328,530868,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,9600,0,46037,4810,600,5500,66547
FL-514,2019,false,false,false,false,75927,7564,83491,0,45768,4000,0,0,3000,52768,22233,49092,13922,17176,0,6079,108502,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-515,2019,false,false,false,false,29265,1500,30765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-517,2019,false,false,false,false,31885,2200,34085,0,0,0,0,0,0,0,0,99792,18418,0,0,7828,126038,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-518,2019,false,false,false,false,30616,1530,32146,0,0,0,0,0,0,0,110155,52848,54777,21463,3617,15375,258235,0,false,0,0,0,0,0,0,false,54805,0,0,3836,58641,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-519,2019,false,false,false,false,106554,0,106554,0,0,0,0,0,0,0,27105,237876,354155,69196,5571,49832,743735,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-520,2019,false,false,false,false,75999,1000,76999,0,0,0,0,0,0,0,95260,150084,10582,0,0,22205,278131,0,false,0,0,0,0,0,0,false,37163,0,0,1868,39031,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-600,2019,false,false,false,false,0,0,0,131472,291720,351169,78650,0,84007,937018,6304305,10309560,6769022,2963289,47252,1957362,28350790,0,false,295836,207081,0,35203,538120,0,false,710966,0,0,49766,760732,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-601,2019,false,false,false,false,205747,14402,220149,0,0,0,0,0,0,0,285741,6534144,964980,285550,42851,514633,8627899,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,69100,0,576918,352983,0,69614,1068615
FL-602,2019,false,false,false,false,65497,4564,70061,0,0,0,0,0,0,0,0,63312,56479,0,0,10716,130507,0,false,0,0,0,0,0,0,false,45910,0,0,4090,50000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-603,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,1022364,639819,20577,0,77821,1760581,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-604,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,18168,146619,278442,0,34297,477526,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-605,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,2263836,904164,1350928,812318,0,299358,5630604,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
FL-606,2019,false,false,false,false,78676,0,78676,0,0,0,0,0,0,0,0,82464,68654,0,0,0,151118,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,21440,19500,0,0,40940
GA-500,2019,false,false,false,false,289884,0,289884,0,0,0,0,0,0,0,1676615,3084084,1393278,354075,0,383992,6892044,0,false,0,0,0,0,0,0,false,140000,0,0,0,140000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-501,2019,false,false,false,false,715003,48400,763403,0,0,0,0,0,0,0,461578,14106588,1910230,95795,84333,1038611,17697135,0,false,0,0,0,0,0,0,false,176800,0,0,12376,189176,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-502,2019,false,false,false,false,76484,0,76484,0,0,0,0,0,0,0,1056868,94116,471141,196660,22410,71631,1912826,0,false,0,0,0,0,0,0,false,394306,0,0,38898,433204,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-503,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,245710,420060,39860,0,0,35063,740693,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-504,2019,false,false,false,false,172407,12068,184475,0,0,0,0,0,0,0,0,221844,41092,0,0,0,262936,0,false,0,0,0,0,0,0,false,156068,0,0,11747,167815,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-505,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,177456,534060,492355,36476,0,32858,1273205,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,57600,0,154623,12779,0,10760,235762
GA-506,2019,false,false,false,false,78805,4149,82954,0,0,0,0,0,0,0,168055,946848,523130,57768,21700,110271,1827772,0,false,0,0,0,0,0,0,false,46500,0,0,3500,50000,false,false,0,false,false,0,0,0,0,181813,62965,0,13329,258107
GA-507,2019,false,false,false,false,35210,2650,37860,0,0,0,0,0,0,0,0,2338908,202948,198605,0,168572,2909033,0,false,0,0,0,0,0,8424,false,375316,0,0,26852,410592,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GA-508,2019,false,false,false,false,151860,0,151860,30072,136392,93192,3500,5000,20000,288156,936223,2088360,727160,406325,0,227125,4385193,0,false,0,0,0,0,0,0,false,172022,0,0,1644,173666,false,false,0,false,false,0,0,0,0,0,0,0,0,0
GU-500,2019,false,false,false,false,113178,3968,117146,0,147384,56192,9000,16424,8331,237331,145636,371376,83454,38581,4485,44880,688412,0,false,0,0,0,0,0,0,false,49552,0,0,3469,53021,false,false,0,false,false,0,0,0,0,0,0,0,0,0
HI-500,2019,false,false,false,false,138114,3091,141205,0,79320,53420,0,0,10981,143721,83349,1729476,20429,319015,866,104805,2257940,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
HI-501,2019,false,false,false,false,122030,2432,124462,0,0,0,0,0,0,0,683739,6421440,987744,245452,0,368565,8706940,0,false,0,0,0,0,0,0,false,272728,0,0,27272,300000,false,false,0,false,false,0,0,0,0,75040,0,0,4540,79580
IA-500,2019,false,false,false,false,40333,2823,43156,0,0,0,0,0,0,0,0,295284,71904,0,0,13907,381095,0,false,0,0,0,0,0,0,false,174400,0,0,12208,186608,false,false,0,false,false,0,0,0,0,15727,106338,0,8544,130609
IA-501,2019,false,false,false,false,323905,22673,346578,0,64524,78768,0,0,7500,150792,290402,1543392,1351811,120801,10332,193854,3510592,0,false,0,0,0,0,0,0,false,307518,0,0,230,307748,false,false,0,false,false,0,0,33660,0,280039,153421,0,32625,499745
IA-502,2019,false,false,false,false,101326,7093,108419,0,37620,210192,29000,0,20689,297501,0,2257512,445350,0,0,181848,2884710,0,false,0,0,0,0,0,0,false,138210,0,0,9672,147882,false,false,0,false,false,0,0,0,0,0,0,0,0,0
ID-500,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,803484,189813,0,0,53328,1046625,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
ID-501,2019,false,false,false,false,151926,7160,159086,0,0,0,0,0,0,0,488648,1109916,432538,351044,93034,161505,2636685,0,false,0,0,0,0,0,0,false,298834,0,0,21778,320612,false,false,0,false,false,0,0,0,0,0,0,0,0,0
IL-500,2019,false,false,false,false,42549,3122,45671,0,60564,43444,109000,0,20017,233025,60769,122712,172828,192608,0,30646,579563,0,false,0,0,0,0,0,0,false,57000,0,0,5000,62000,false,false,0,false,false,0,0,0,0,0,0,0,0,0
IL-501,2019,false,false,false,false,83670,0,83670,0,0,0,0,0,0,0,194598,1342812,251749,13009,10871,96718,1909757,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,42812,7500,0,2500,52812
IL-502,2019,false,false,false,false,95648,1913,97561,0,0,0,0,0,0,0,452860,859320,543306,90623,0,96958,2043067,0,false,0,0,0,0,0,0,false,82550,0,0,6416,88966,false,false,0,false,false,0,0,24120,0,0,0,0,925,25045
IL-503,2019,false,false,false,false,30020,2137,32157,0,0,0,0,0,0,0,0,492744,78260,0,2000,41463,614467,0,false,0,0,0,0,0,0,false,51953,0,0,4737,56690,false,false,0,false,false,0,0,0,0,0,0,0,0,0
IL-504,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,298695,440376,718225,220845,2821,106036,1786998,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
IL-506,2019,false,false,false,false,0,0,0,0,0,0,0,0,0,0,1692192,495708,1121825,452691,64000,203311,4029727,0,false,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,false,false,0,0,0,0,0,0,0,0,0
