coc_number,year,giw_hmis_leasing_budget,giw_hmis_rental_assistance_budget,giw_hmis_supportive_services_budget,giw_hmis_operating_budget,giw_hmis_hmis_budget,giw_hmis_administration_budget,giw_hmis_annual_renewal_amount,giw_joint_th_ph_rrh_leasing_budget,giw_joint_th_ph_rrh_rental_assistance_budget,giw_joint_th_ph_rrh_supportive_services_budget,giw_joint_th_ph_rrh_operating_budget,giw_joint_th_ph_rrh_hmis_budget,giw_joint_th_ph_rrh_administration_budget,giw_joint_th_ph_rrh_annual_renewal_amount,giw_ph_leasing_budget,giw_ph_rental_assistance_budget,giw_ph_supportive_services_budget,giw_ph_operating_budget,giw_ph_hmis_budget,giw_ph_administration_budget,giw_ph_annual_renewal_amount,giw_sh_leasing_budget,giw_sh_rental_assistance_budget,giw_sh_supportive_services_budget,giw_sh_operating_budget,giw_sh_hmis_budget,giw_sh_administration_budget,giw_sh_annual_renewal_amount,giw_sso_leasing_budget,giw_sso_rental_assistance_budget,giw_sso_supportive_services_budget,giw_sso_operating_budget,giw_sso_hmis_budget,giw_sso_administration_budget,giw_sso_annual_renewal_amount,giw_sso_non_ce_leasing_budget,giw_sso_non_ce_rental_assistance_budget,giw_sso_non_ce_supportive_services_budget,giw_sso_non_ce_operating_budget,giw_sso_non_ce_hmis_budget,giw_sso_non_ce_administration_budget,giw_sso_non_ce_annual_renewal_amount,giw_th_leasing_budget,giw_th_rental_assistance_budget,giw_th_supportive_services_budget,giw_th_operating_budget,giw_th_hmis_budget,giw_th_administration_budget,giw_th_annual_renewal_amount
MD-600,2017,false,false,false,false,85000,0,85000,0,0,0,0,0,0,0,1620104,1002600,569379,258025,0,183233,3633341,0,false,0,0,0,0,0,0,false,260400,0,0,19600,280000,,,,,,,,460632,0,220515,30006,0,50459,761612
MD-600,2018,false,false,false,false,85000,0,85000,0,93744,113016,0,0,9737,216497,1764293,1070028,636835,348866,0,195233,4015255,0,false,0,0,0,0,0,0,false,260400,0,0,19600,280000,,,,,,,,460632,0,107500,30006,0,45021,643159
MD-601,2017,false,false,false,false,0,0,0,0,0,0,0,0,0,0,906056,4547352,1200297,191008,25005,456099,7325817,66600,false,689661,31338,0,54722,842321,0,false,0,0,0,0,0,,,,,,,,0,0,102830,9691,0,7875,120396
MD-601,2018,false,false,false,false,0,0,0,0,0,0,0,0,0,0,978112,5422416,1167045,206289,25005,458752,8257619,0,false,462983,9500,0,32838,505321,0,false,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
ME-500,2017,false,false,false,false,322326,22562,344888,0,0,0,0,0,0,0,0,7036404,15182,86634,0,419943.9599999999,7558163.96,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,0,0,44713,124072,0,5373,174158
ME-500,2018,false,false,false,false,322326,22562,344888,0,0,0,0,0,0,0,20736,10130424,785386,159491,3000,635797,11734834,0,false,0,0,0,0,0,0,false,34320,0,0,2403,36723,,,,,,,,0,0,44713,124072,0,5373,174158
ME-502,2017,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,2196060,729036,85012,3000,189474,3202582,0,false,0,34321,0,2402,36723,0,false,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
MI-500,2017,false,false,false,false,737826,51638,789464,0,0,0,0,0,0,0,2332937,3589572,1372929,43767,7163,480544,7826912,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0
MI-500,2018,false,false,false,false,737826,51638,789464,0,105660,109943,1500,0,0,217103,388116,5006172,1557884,45518,7163,480110,7484963,0,false,0,0,0,0,0,0,false,341000,0,0,0,341000,,,,,,,,0,0,0,0,0,0,0
MI-501,2017,false,false,false,false,281849,8384,290233,0,0,0,0,0,0,0,3964080,6923436,4286522,2148546,22016,1178606,18523206,0,false,0,0,0,0,0,0,false,2609571,0,0,176342,2785913,,,,,,,,267703,0,1063358,980202,0,161371,2472634
MI-501,2018,false,false,false,false,281849,8384,290233,0,0,0,0,0,0,0,4571707,7475112,4825551,2820939,37867,1276933,21008109,0,false,0,0,0,0,0,0,false,1544993,0,0,107834,1652827,,,,,,,,96816,0,901703,1100333,0,146706,2245558
MI-502,2017,false,false,false,false,56947,3292,60239,0,0,0,0,0,0,0,927496,980544,653368,38719,0,130575,2730702,55800,false,0,21743,0,3811,81354,0,false,513372,0,0,28359,541731,,,,,,,,82848,0,77024,0,0,7992,167864
MI-502,2018,false,false,false,false,56947,3292,60239,0,0,0,0,0,0,0,225360,1804800,653368,41042,0,126655,2851225,55800,false,0,21743,0,3811,81354,0,false,513372,0,0,28359,541731,,,,,,,,82848,0,77024,0,0,7992,167864
MI-503,2017,false,false,false,false,49252,3217,52469,0,0,0,0,0,0,0,627479,31584,269346,54706,16137,58544,1057796,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,18980,0,4700,3494,0,38,27212
MI-503,2018,false,false,false,false,49252,3217,52469,0,0,0,0,0,0,0,665130,33648,269346,57988,16137,58544,1100793,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,18980,0,4700,3494,0,38,27212
MI-504,2017,false,false,false,false,88354,4471,92825,0,0,0,0,0,0,0,2595051,1166052,845530,96730,800,216053,4920216,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,123668,0,242146,233411,0,26198,625423
MI-504,2018,false,false,false,false,88354,4471,92825,0,0,0,0,0,0,0,2750492,1234872,845530,102789,800,216060,5150543,0,false,0,0,0,0,0,0,false,0,0,0,0,0,,,,,,,,123668,0,242146,233411,0,26198,625423
MI-505,2017,false,false,false,false,85747,3830,89577,0,0,0,0,0,0,0,745723,414312,419049,63787,0,114061,1756932,0,false,0,0,0,0,0,0,false,123774,0,0,8663,132437,,,,,,,,0,0,62500,55869,0,8285,126654
