coc_number,year,ard_ard,ard_pprn
ME-502,2015,3028451,1222088
ME-502,2016,3241263,1298188
MI-500,2015,8134759,5640904
MI-500,2016,8550336,5933151
MI-500,2017,8616376,6128595
MI-500,2018,8832530,6592763
MI-500,2019,9015642,6559906
MI-501,2015,24575829,21613087
MI-501,2016,23443227,22853421
MI-501,2017,24259575,23636536
MI-501,2018,25196727,25269959
MI-501,2019,26636844,25195586
MI-502,2015,3449330,5637024
MI-502,2016,3280983,6018132
MI-502,2017,3581890,6291040
MI-502,2018,3702413,6726833
MI-502,2019,4045207,6723024
MI-503,2015,1322357,1994739
MI-503,2016,1320280,2022060
MI-503,2017,1137477,2273634
MI-503,2018,1180474,2431574
MI-503,2019,1203265,2401508
MI-504,2015,5177328,4010973
MI-504,2016,5638464,4257050
MI-504,2017,5638464,4401461
MI-504,2018,5864111,4706147
MI-504,2019,6080995,4634081
MI-505,2015,2399031,3582045
MI-505,2016,2186670,3867415
MI-505,2017,2105600,4016923
MI-505,2018,2008079,4294516
MI-505,2019,1852934,4178662
MI-506,2015,5058368,3555797
MI-506,2016,5351772,3765587
MI-506,2017,5350900,3854691
MI-506,2018,5517588,4121181
MI-506,2019,6131861,4184043
MI-507,2015,1834356,1334907
MI-507,2016,1722824,1407358
MI-507,2017,1678449,1428360
MI-507,2018,1644924,1531060
MI-507,2019,1623334,1503216
MI-508,2015,2187612,1553129
MI-508,2016,2500986,1660261
MI-508,2017,2476529,1713547
MI-508,2018,2427581,1839168
MI-508,2019,2478509,1827890
MI-509,2015,5050887,1233622
MI-509,2016,5566885,1338727
MI-509,2017,5566884,1399994
MI-509,2018,5588663,1496742
MI-509,2019,5806240,1545792
MI-510,2015,1843373,1620470
MI-510,2016,1806174,1716356
MI-510,2017,1806174,1748169
MI-510,2018,1884846,1853981
MI-510,2019,2039269,1832618
MI-511,2015,108758,216296
MI-511,2016,108386,226569
MI-511,2017,100799,230098
MI-511,2018,103011,247984
MI-511,2019,103083,250110
MI-512,2015,650311,310500
MI-512,2016,669517,327402
MI-512,2017,655841,345734
MI-512,2018,672325,367470
MI-512,2019,1328607,347290
MI-513,2015,229132,172899
MI-513,2016,141900,190597
MI-513,2017,131967,196036
MI-513,2018,124049,211170
MI-513,2019,125785,212897
MI-514,2015,364610,462452
MI-514,2016,312799,481768
MI-514,2017,290903,494452
MI-514,2018,297131,525248
MI-514,2019,288659,530382
MI-515,2015,162878,295298
MI-515,2016,139126,320990
MI-515,2017,129387,336662
MI-515,2018,131448,362513
MI-515,2019,125684,349335
MI-516,2015,527006,523686
MI-516,2016,562063,565051
MI-516,2017,555032,591071
MI-516,2018,554978,626365
MI-516,2019,577871,607251
MI-517,2015,869318,502555
MI-517,2016,879670,531783
MI-517,2017,818093,541869
MI-517,2018,822159,579838
MI-517,2019,824043,555336
MI-518,2015,230611,205969
MI-518,2016,212627,212606
MI-518,2017,212627,214121
MI-518,2018,224593,231239
MI-518,2019,232273,237005
MI-519,2015,978707,456841
MI-519,2016,987803,502917
MI-519,2017,987803,529419
MI-519,2018,1017251,536174
MI-519,2019,1129896,542194
MI-523,2015,741433,162817
MI-523,2016,872920,170772
MI-523,2017,903062,177240
MI-523,2018,900050,193509
MI-523,2019,967000,191025
MN-500,2015,10213070,9188833
MN-500,2016,11802564,9681568
MN-500,2017,11573897,9883287
MN-500,2018,11960459,10566519
MN-500,2019,12709265,10620823
MN-501,2015,6313350,4651827
MN-501,2016,6773514,4923694
MN-501,2017,7217018,5089367
MN-501,2018,6966364,5441329
MN-501,2019,6793228,5331074
MN-502,2015,1980159,1429119
MN-502,2016,1972892,1498805
MN-502,2017,2071465,1538639
MN-502,2018,2134136,1636029
MN-502,2019,2166612,1637872
MN-503,2015,3126007,1971470
MN-503,2016,3662015,2111055
MN-503,2017,3665103,2260470
MN-503,2018,3819588,2418625
MN-503,2019,3753553,2443074
MN-504,2015,435831,247443
MN-504,2016,416059,265307
MN-504,2017,429046,276846
MN-504,2018,431158,316141
MN-504,2019,447383,320058
MN-505,2015,1325789,1219728
MN-505,2016,1357329,1296109
MN-505,2017,1365513,1342565
MN-505,2018,1348207,1437047
MN-505,2019,1549831,1437904
MN-506,2015,670555,412304
MN-506,2016,652918,424065
MN-506,2017,652918,436540
MN-506,2018,672592,461530
MN-506,2019,715845,455631
MN-508,2015,800339,458113
MN-508,2016,838859,475548
MN-508,2017,798835,500765
MN-508,2018,801583,532546
MN-508,2019,839395,520013
MN-509,2015,3125991,2723365
MN-509,2016,3059038,2903756
MN-509,2017,2953596,2999126
MN-509,2018,2963567,3206383
MN-509,2019,3181358,3146683
MN-511,2015,932031,666778
MN-511,2016,956062,688769
MN-511,2017,956062,710828
MN-511,2018,969625,757861
MN-511,2019,1077534,741286
MO-500,2015,1636913,3249509
MO-500,2016,1977191,3621671
MO-500,2017,1838788,3838907
MO-500,2018,1928309,4104249
MO-500,2019,1929953,4173034
MO-501,2015,10309830,11229730
MO-501,2016,10973619,11861551
MO-501,2017,11051238,12143827
MO-501,2018,11487718,12983036
MO-501,2019,12104511,13043904
MO-503,2015,273602,424806
MO-503,2016,279482,461495
MO-503,2017,273602,486504
MO-503,2018,334324,526429
MO-503,2019,373882,531360
MO-600,2015,947138,611175
MO-600,2016,885539,662622
MO-600,2017,923106,689131
MO-600,2018,950006,745029
MO-600,2019,1045226,756118
MO-602,2015,596637,371398
MO-602,2016,533918,376281
MO-602,2017,533918,381045
MO-602,2018,560852,392583
MO-602,2019,609142,382756
MO-603,2015,1196401,968675
MO-603,2016,1221712,1053599
MO-603,2017,1221712,1098872
MO-603,2018,1239738,1176757
MO-603,2019,1393131,1229578
MO-604,2015,10452874,5543706
MO-604,2016,12988559,7337358
MO-604,2017,12627646,7494130
MO-604,2018,13302621,8024793
MO-604,2019,13142804,7918200
MO-606,2015,4734312,4832923
MO-606,2016,4618103,5090879
MO-606,2017,4862407,5323742
MO-606,2018,4978996,5617675
MO-606,2019,4779809,5632860
MP-500,2017,0,437827
MP-500,2019,0,466107
MS-500,2015,1518766,1859407
MS-500,2016,1320188,1968942
MS-500,2017,1257665,2030479
MS-500,2018,1275023,2163249
MS-500,2019,1368126,2144904
MS-501,2015,3226170,4584403
MS-501,2016,2973629,4943636
MS-501,2017,2873672,5118993
MS-501,2018,2804711,5495656
MS-501,2019,2750174,5402850
MS-503,2015,715967,886290
MS-503,2016,737401,938438
MS-503,2017,784323,985011
MS-503,2018,805392,1043444
MS-503,2019,799342,1041683
MT-500,2015,2701734,1912204
MT-500,2016,2332717,1997290
MT-500,2017,2464570,2082245
MT-500,2018,2434677,2227900
MT-500,2019,2608739,2213493
NC-500,2015,1896356,1459831
NC-500,2016,1847338,1581510
NC-500,2017,1841471,1671713
NC-500,2018,1956291,1792751
NC-500,2019,2168503,1808728
NC-501,2015,1196396,489905
NC-501,2016,1170932,536845
NC-501,2017,1170932,550821
NC-501,2018,1254274,590435
NC-501,2019,1238651,599854
NC-502,2015,1125456,1252158
NC-502,2016,1284867,1359793
NC-502,2017,1208231,1431830
NC-502,2018,1247410,1526985
NC-502,2019,1415325,1520756
NC-503,2015,6815972,9803384
NC-503,2016,7888001,10511445
NC-503,2017,8267704,10912813
NC-503,2018,8388382,11659367
NC-503,2019,8583575,11648394
NC-504,2015,1798751,1678323
NC-504,2016,1857780,1796626
NC-504,2017,1950669,1928084
NC-504,2018,1702789,2069578
NC-504,2019,2127921,2039879
NC-505,2015,3805494,3523396
NC-505,2016,3540799,3903529
NC-505,2017,3542090,4237466
NC-505,2018,3685454,4530473
NC-505,2019,3953290,4597945
NC-506,2015,759439,598143
NC-506,2016,648502,656768
NC-506,2017,648502,700907
NC-506,2018,656683,755906
NC-506,2019,672648,774924
NC-507,2015,2739016,2955605
NC-507,2016,2870762,3286615
NC-507,2017,3133932,3485163
NC-507,2018,3247452,3726138
NC-507,2019,3334815,3920536
NC-509,2015,818631,727777
NC-509,2016,811958,779491
NC-509,2017,811117,797861
NC-509,2018,779167,873006
NC-509,2019,777535,882363
NC-511,2015,806572,525697
NC-511,2016,698580,551341
NC-511,2017,698580,565252
NC-511,2018,703508,604789
NC-511,2019,703004,602649
NC-513,2015,568053,239315
NC-513,2016,608299,259317
NC-513,2017,638714,261958
NC-513,2018,664478,269936
NC-513,2019,680285,266545
NC-516,2015,270648,476011
NC-516,2016,273671,505452
NC-516,2017,273671,542714
NC-516,2018,273671,571920
NC-516,2019,338633,567859
ND-500,2015,2143947,1244984
ND-500,2016,1983324,1310498
ND-500,2017,1844491,1359665
ND-500,2018,1761303,1454775
ND-500,2019,1823945,1469707
NE-500,2015,1916473,2256651
NE-500,2016,1955886,2375460
NE-500,2017,1955886,2416222
NE-500,2018,1989734,2581208
NE-500,2019,1965426,2563508
NE-501,2015,3740348,3559703
NE-501,2016,4112048,3750326
NE-501,2017,4109437,3877367
NE-501,2018,4543509,4154496
NE-501,2019,4556397,4251333
NE-502,2015,1924873,1124733
NE-502,2016,2172929,1165368
NE-502,2017,2191955,1281877
NE-502,2018,2256141,1370462
NE-502,2019,2304944,1342023
NH-500,2015,3449822,2121004
NH-500,2016,3452510,2257819
NH-500,2017,3625136,2338483
NH-500,2018,3751496,2509441
NH-500,2019,4081308,2513546
NH-501,2015,1268410,1117198
NH-501,2016,1499846,1218239
NH-501,2017,1499846,1251117
NH-501,2018,1479307,1337576
NH-501,2019,1499438,1343582
NH-502,2015,1846344,284892
NH-502,2016,1814588,300921
NH-502,2017,1814588,322071
NH-502,2018,1814588,337190
NH-502,2019,1882236,334859
NJ-500,2015,506980,539147
NJ-500,2016,503032,549605
NJ-500,2017,503028,602333
NJ-500,2018,555007,644465
NJ-500,2019,522091,669192
NJ-501,2015,3914869,5554142
NJ-501,2016,4609993,5928702
NJ-501,2017,4609993,6099615
NJ-501,2018,4869363,6521133
NJ-501,2019,5167909,6667204
NJ-502,2015,578628,314554
NJ-502,2016,514068,324360
NJ-502,2017,478083,327409
NJ-502,2018,511508,350310
NJ-502,2019,504223,388481
NJ-503,2015,3410103,4039749
NJ-503,2016,3327477,4329183
NJ-503,2017,3480031,4513336
NJ-503,2018,3451535,4832999
NJ-503,2019,3558094,4854782
NJ-504,2015,5268587,8284540
NJ-504,2016,6570781,8876947
NJ-504,2017,6646634,9164139
NJ-504,2018,6035911,9798154
NJ-504,2019,5724940,10017755
NJ-506,2015,4532972,6865847
NJ-506,2016,6160139,6775643
NJ-506,2017,6015946,6968930
NJ-506,2018,6564223,7451130
NJ-506,2019,6967659,7395792
NJ-507,2015,1969652,1766893
NJ-507,2016,2804020,1924266
NJ-507,2017,2891851,2005869
NJ-507,2018,3028900,2145147
NJ-507,2019,3013036,2195634
NJ-508,2015,3264949,1853186
NJ-508,2016,3111112,1899049
NJ-508,2017,3248865,1974820
NJ-508,2018,3444831,2111556
NJ-508,2019,3514252,2133362
NJ-509,2015,1750367,1205135
NJ-509,2016,1703815,1293234
NJ-509,2017,1729389,1371174
NJ-509,2018,1721613,1465976
NJ-509,2019,1887565,1481262
NJ-510,2015,492410,1180260
NJ-510,2016,427371,1249262
NJ-510,2017,589737,1275867
NJ-510,2018,574359,1364474
NJ-510,2019,572175,1418874
NJ-511,2015,3699848,3138929
NJ-511,2016,3971236,3274589
NJ-511,2017,3971236,3245404
NJ-511,2018,4137117,3470108
NJ-511,2019,4433770,3201106
NJ-512,2015,144160,171678
NJ-512,2016,144160,184980
NJ-512,2017,134069,197467
NJ-512,2018,135510,212365
NJ-512,2019,127379,208890
NJ-513,2015,402656,286955
NJ-513,2016,385381,317495
NJ-513,2017,404650,331034
NJ-513,2018,412830,354188
NJ-513,2019,385708,356208
NJ-514,2015,3353322,2133399
NJ-514,2016,3553573,2219659
NJ-514,2017,3731252,2234644
NJ-514,2018,3884113,2385516
NJ-514,2019,4216090,2513398
NJ-515,2015,4449642,4408064
NJ-515,2016,4354444,4742668
NJ-515,2017,4456445,4716113
NJ-515,2018,4668228,5042138
NJ-515,2019,4170723,4740594
NJ-516,2015,1116573,682254
NJ-516,2016,1189112,752861
NJ-516,2017,1189112,781499
NJ-516,2018,1174640,832376
NJ-516,2019,1218262,837991
NM-500,2015,5092874,2637264
NM-500,2016,5528584,2796071
NM-500,2017,5628584,2929502
NM-500,2018,5432713,3131948
NM-500,2019,5409952,3268652
NM-501,2015,4356940,2763319
NM-501,2016,4796206,3276795
NM-501,2017,4940626,3446248
NM-501,2018,4986165,3687311
NM-501,2019,5258539,3631229
NV-500,2015,12421218,8892355
NV-500,2016,13097155,9960160
NV-500,2017,13095242,10413002
NV-500,2018,13204268,11132892
NV-500,2019,13840004,11293232
NV-501,2015,1593622,1502211
NV-501,2016,1575172,1710408
NV-501,2017,1651750,1779563
NV-501,2018,1654208,1882238
NV-501,2019,1625336,1940680
NV-502,2015,641648,576271
NV-502,2016,590149,611588
NV-502,2017,574995,627803
NV-502,2018,539475,583329
NV-502,2019,665216,111208
NY-500,2015,11662585,6785056
NY-500,2016,11043669,7179294
NY-500,2017,11522645,7375300
NY-500,2018,12080024,7885259
NY-500,2019,12149041,7602108
NY-501,2015,1482865,1169480
NY-501,2016,1482865,1204260
NY-501,2017,1482865,1260856
NY-501,2018,1519897,1355182
NY-501,2019,1663858,1365917
NY-502,2015,294943,358017
NY-503,2015,4423358,2494282
NY-503,2016,4908071,2625689
NY-503,2017,5006829,2681159
NY-503,2018,4935437,2865164
NY-503,2019,5416644,2908554
NY-504,2015,406172,292170
NY-504,2016,343254,306381
NY-504,2017,319226,316477
NY-504,2018,318746,332428
NY-504,2019,265179,344020
NY-505,2015,8762081,4828163
NY-505,2016,8276132,5437911
NY-505,2017,8590511,5595880
NY-505,2018,8475964,5993127
NY-505,2019,9218019,5994636
NY-507,2015,3328436,1561503
NY-507,2016,3767965,1652485
NY-507,2017,3862164,1720947
NY-507,2018,3859980,1845912
NY-507,2019,3939164,1825298
NY-508,2015,10212353,14311369
NY-508,2016,10871209,15079258
NY-508,2017,11313196,15576226
NY-508,2018,11655799,16662417
NY-508,2019,11707490,16614588
NY-510,2015,236206,371425
NY-510,2016,200775,375412
NY-510,2017,185795,389076
NY-510,2018,209140,414044
NY-510,2019,204846,402755
NY-511,2015,1606909,2486421
NY-511,2016,1488791,2695904
NY-511,2017,1526340,2793565
NY-511,2018,1591655,2988684
NY-511,2019,1599683,3018756
NY-512,2015,3041965,1358822
NY-512,2016,3119336,1434673
NY-512,2017,3198646,1492205
NY-512,2018,3219814,1598866
NY-512,2019,3433031,1570895
NY-513,2015,241291,772850
NY-513,2016,291707,767585
NY-513,2017,291662,788698
NY-513,2018,303702,851901
NY-513,2019,305840,867062
NY-514,2015,248087,688283
NY-514,2016,210878,725430
NY-514,2017,196117,748691
NY-514,2018,201899,799802
NY-514,2019,199474,787166
NY-516,2015,173134,260595
NY-516,2016,146329,260692
NY-516,2017,136086,264509
NY-516,2018,146634,282886
NY-516,2019,138546,290552
NY-518,2015,3387693,2244811
NY-518,2016,3019729,2363910
NY-518,2017,3019729,2471807
NY-518,2018,3200761,2644413
NY-518,2019,3152035,2693006
NY-519,2015,455666,343640
NY-519,2016,437789,362416
NY-519,2017,437789,371363
NY-519,2018,450819,390558
NY-519,2019,450819,396590
NY-520,2015,51601,347307
NY-520,2016,78804,337722
NY-520,2017,78804,349005
NY-520,2018,80261,366918
NY-520,2019,79733,368927
NY-522,2015,1227155,981234
NY-522,2016,1230227,1010078
NY-522,2017,1260982,1067601
NY-522,2018,1253146,1127314
NY-522,2019,1256743,874365
NY-523,2015,1326021,915525
NY-523,2016,1534955,942235
NY-523,2017,1534955,953895
NY-523,2018,1529015,1037930
NY-523,2019,1676117,1048157
NY-525,2019,0,1098575
NY-600,2015,107080256,10270049
NY-600,2016,104485257,109711721
NY-600,2017,101795872,113335025
NY-600,2018,106447473,121167367
NY-600,2019,119643563,122010346
NY-601,2015,1310538,550801
NY-601,2016,1299245,568964
NY-601,2017,1299245,574992
NY-601,2018,1297157,615211
NY-601,2019,1334693,607705
NY-602,2015,2583317,685691
NY-602,2016,2714912,739826
NY-602,2017,2662004,785132
NY-602,2018,2549566,840049
NY-602,2019,2632451,1636853
NY-603,2015,11976136,12085403
NY-603,2016,10093402,12929849
NY-603,2017,10224753,13702401
NY-603,2018,11808209,14649691
NY-603,2019,12716632,13798658
NY-604,2015,16572093,6335806
NY-604,2016,15877082,5358389
NY-604,2017,15877082,5570257
NY-604,2018,17867544,5975731
NY-604,2019,18656370,5956116
NY-606,2015,661201,1379219
NY-606,2016,686899,1486529
NY-606,2017,686899,1552691
NY-606,2018,803640,1659991
NY-606,2019,852336,1175325
NY-607,2015,438066,320518
NY-607,2016,394588,307299
NY-607,2017,366967,325611
NY-607,2018,303643,326923
NY-607,2019,281080,320582
NY-608,2015,1212133,617125
NY-608,2016,1132736,634101
NY-608,2017,1132736,623922
NY-608,2018,1138244,649642
NY-608,2019,1201623,684192
OH-500,2015,16015269,9392800
OH-500,2016,16376365,9977073
OH-500,2017,16580906,10290421
OH-500,2018,16824886,11001549
OH-500,2019,20516188,10903098
OH-501,2015,4326103,4849025
OH-501,2016,4122186,5143966
OH-501,2017,4025860,5339536
OH-501,2018,4143741,5711115
OH-501,2019,4070395,5716802
OH-502,2015,25352999,17992463
OH-502,2016,26697332,19063374
OH-502,2017,26697332,19731977
OH-502,2018,27022106,21096539
OH-502,2019,27762915,21077839
OH-503,2015,10896951,5740754
OH-503,2016,11452649,5999062
OH-503,2017,11516849,6251713
OH-503,2018,11469253,6683743
OH-503,2019,13179482,6597722
OH-504,2015,2113522,2478554
OH-504,2016,1626837,2625797
OH-504,2017,1683905,2698422
OH-504,2018,1784205,2879600
OH-504,2019,1866583,2885688
OH-505,2015,8103403,4696606
OH-505,2016,8475894,5034427
OH-505,2017,9042419,5265100
OH-505,2018,9204284,5629063
OH-505,2019,10052718,5753014
OH-506,2015,4405305,4358401
OH-506,2016,4498806,4630874
OH-506,2017,4554827,4761787
OH-506,2018,4575345,5091346
OH-506,2019,4675955,5051153
OH-507,2015,15831743,14378921
OH-507,2016,15304725,15308382
OH-507,2017,15832855,15869757
OH-507,2018,16404500,16981872
OH-507,2019,20190131,16932282
OH-508,2015,2321712,2195951
OH-508,2016,2606681,2331675
OH-508,2017,2662997,2427390
OH-508,2018,2942080,2595679
OH-508,2019,2877067,2585531
OK-500,2015,311475,558642
OK-500,2016,316541,573824
OK-500,2017,269491,613397
OK-500,2018,257918,657622
OK-500,2019,247395,660525
OK-501,2015,2838790,2485662
OK-501,2016,2712652,2588720
OK-501,2017,2530853,2674662
OK-501,2018,3466756,2859778
OK-501,2019,2728209,2820843
OK-502,2015,3175109,2942365
OK-502,2016,3507094,3132009
OK-502,2017,3507138,3289219
OK-502,2018,3558289,3516523
OK-502,2019,3689899,3592152
OK-503,2015,672195,955632
OK-503,2016,589828,997457
OK-503,2017,558965,1035886
OK-503,2018,567890,1104272
OK-503,2019,587009,1091935
OK-504,2015,348554,292894
OK-504,2016,400502,325950
OK-504,2017,396343,333677
OK-504,2018,402933,357904
OK-504,2019,494335,354866
OK-505,2015,336612,702498
OK-505,2016,343114,715011
OK-505,2017,343114,728813
OK-505,2018,352044,791537
OK-505,2019,359010,798631
OK-506,2015,113714,651148
OK-506,2016,116234,671215
OK-506,2017,108098,694261
OK-506,2018,117578,695492
OK-506,2019,120854,685564
OK-507,2015,124512,863526
OK-507,2016,123186,902424
OK-507,2017,114563,924063
OK-507,2018,116835,984128
OK-507,2019,119955,977271
OR-500,2015,2725129,623077
OR-500,2016,3279456,675071
OR-500,2017,3279447,713484
OR-500,2018,3363526,768403
OR-500,2019,3507606,769135
OR-501,2015,15314498,5645016
OR-501,2016,18659034,5968903
OR-501,2017,21090067,6163245
OR-501,2018,22269997,6589429
OR-501,2019,23616254,6656376
OR-502,2015,319469,368006
OR-502,2016,271902,408071
OR-502,2017,252869,428367
OR-502,2018,244882,458101
OR-502,2019,233310,475631
OR-503,2015,544337,303992
OR-503,2016,553505,341353
OR-503,2017,581180,362961
OR-503,2018,596396,388283
OR-503,2019,647600,397852
OR-505,2015,3125254,2968046
OR-505,2016,2987686,3184282
OR-505,2017,3039212,3328390
OR-505,2018,3065532,3556445
OR-505,2019,3127226,3547061
OR-506,2015,2728665,1552157
OR-506,2016,2937427,1657097
OR-506,2017,3279139,1735109
OR-506,2018,3369507,1855306
OR-506,2019,3752858,1967055
OR-507,2015,1696138,1369006
OR-507,2016,2036506,1448959
OR-507,2017,2233474,1521787
OR-507,2018,2353017,1626951
OR-507,2019,2631284,1633830
PA-500,2015,31091428,26459227
PA-500,2016,32631711,28301261
PA-500,2017,32665825,29238068
PA-500,2018,32693718,31258589
PA-500,2019,33893460,31195991
PA-501,2015,1567631,1629469
PA-501,2016,1597865,1695973
PA-501,2017,1635436,1743566
PA-501,2018,1671218,1864343
PA-501,2019,1779727,1818474
PA-502,2015,4545572,3677268
PA-502,2016,4991996,3920827
PA-502,2017,4991996,4071693
PA-502,2018,4887497,4353501
PA-502,2019,5017068,4374063
PA-503,2015,3837881,3829354
PA-503,2016,3880107,4020448
PA-503,2017,3796781,4113174
PA-503,2018,4021709,4397567
PA-503,2019,4129753,4338121
PA-504,2015,2566181,2592064
PA-504,2016,2886837,2782130
PA-504,2017,2886837,2874025
PA-504,2018,2888253,3073192
PA-504,2019,3132415,3107501
PA-505,2015,1552316,1505776
PA-505,2016,1623354,1646718
PA-505,2017,1623354,1721758
PA-505,2018,1626834,1840742
PA-505,2019,1688042,1877125
PA-506,2015,2734084,3088918
PA-506,2016,2768821,3268465
PA-506,2017,2730814,3371646
PA-506,2018,2762261,3604647
PA-506,2019,2825385,3588574
PA-508,2015,2583634,2104705
PA-508,2016,2510806,2217163
PA-508,2017,2510806,2260504
PA-508,2018,2683752,2411029
PA-508,2019,2826479,2401918
PA-509,2015,9527997,10248951
PA-509,2016,10514395,10933686
PA-509,2017,10898916,11369093
PA-509,2018,11427945,12189442
PA-509,2019,12161105,12028814
PA-510,2015,2034100,2826910
PA-510,2016,2198848,3037863
PA-510,2017,2226290,3167399
PA-510,2018,2296691,3386284
PA-510,2019,2077255,3329144
PA-511,2015,885086,1384950
PA-511,2016,1118627,1439215
PA-511,2017,1152631,1507108
PA-511,2018,1157695,1611438
PA-511,2019,1245611,1760476
PA-512,2015,991967,1650278
PA-512,2016,1135337,1763379
PA-512,2017,1184032,1827385
PA-512,2018,1223485,1953959
PA-512,2019,1312086,1963119
PA-600,2015,16177008,17665471
PA-600,2016,16994468,18764729
PA-600,2017,17224974,19464083
PA-600,2018,17608688,20809528
PA-600,2019,19365923,20733830
PA-601,2015,8064056,8030756
PA-601,2016,8613384,8269245
PA-601,2017,8796824,8543945
PA-601,2018,9234835,8948560
PA-601,2019,9625471,9066346
PA-603,2015,1561462,1982556
PA-603,2016,1475518,2108132
PA-603,2017,1284496,2218273
PA-603,2018,1283884,2371569
PA-603,2019,1407225,2370228
PA-605,2015,2387330,2249163
PA-605,2016,2128578,2379194
PA-605,2017,2195814,2477278
PA-605,2018,2241312,2643688
PA-605,2019,2181765,2662426
PR-502,2015,13803130,13066145
PR-502,2016,12939815,13299368
PR-502,2017,12658322,13266176
PR-502,2018,13097961,14210809
PR-502,2019,12981645,13696036
PR-503,2015,6890750,12780064
PR-503,2016,5503674,12736672
PR-503,2017,5590093,12417788
PR-503,2018,5515253,13488756
PR-503,2019,5614441,12620021
RI-500,2015,5219578,7291054
RI-500,2016,5592243,7685538
RI-500,2017,5870888,7830444
RI-500,2018,6023109,8373315
RI-500,2019,6911769,8251675
SC-500,2015,1653568,2219644
SC-500,2016,1650928,2288931
SC-500,2017,1650928,2467486
SC-500,2018,1705708,2629571
SC-500,2019,1874085,2596854
SC-501,2015,3737478,3828129
SC-501,2016,3679737,4086439
SC-501,2017,2866081,4287128
SC-501,2018,2805246,4592166
SC-501,2019,3025950,4615405
SC-502,2015,2886088,2427097
SC-502,2016,2719956,2551899
SC-502,2017,2897909,2660673
SC-502,2018,3101397,2746827
SC-502,2019,3036104,3578900
SC-503,2015,1489094,2863517
SC-503,2016,1758130,3029063
SC-503,2017,1827250,3043563
SC-503,2018,1946301,3333732
SC-503,2019,2422889,3082777
SD-500,2015,1254399,1625647
SD-500,2016,1196008,1702884
SD-500,2017,1213008,1762782
SD-500,2018,1292442,1886077
SD-500,2019,1259941,1919565
TN-500,2015,2904250,1985597
TN-500,2016,2577519,2109625
TN-500,2017,2512136,2185962
TN-500,2018,2550503,2332732
TN-500,2019,2480262,2225188
TN-501,2015,6827685,4615782
TN-501,2016,6511602,4811744
TN-501,2017,6511603,4901156
TN-501,2018,6557779,5240112
TN-501,2019,6576745,5149998
TN-502,2015,1380353,1179031
TN-502,2016,1401099,1246167
TN-502,2017,1390506,1283665
TN-502,2018,1390722,1372614
TN-502,2019,1412759,1501972
TN-503,2015,1867720,1670275
TN-503,2016,1763533,1788364
TN-503,2017,1763168,1893753
TN-503,2018,1783153,2028142
TN-503,2019,1809215,1994746
TN-504,2015,3490911,3100546
TN-504,2016,3253583,3352887
TN-504,2017,3045309,3435001
TN-504,2018,3107210,3672380
TN-504,2019,3537088,3734279
TN-506,2015,746237,987013
TN-506,2016,749772,1028021
TN-506,2017,749772,1090037
TN-506,2018,713437,1154586
TN-506,2019,716095,1149617
TN-507,2015,1640133,1307299
TN-507,2016,1467666,1348077
TN-507,2017,1502715,1395641
TN-507,2018,1467428,1465726
TN-507,2019,1635655,1478237
TN-509,2015,1553449,999661
TN-509,2016,1484305,1049291
TN-509,2017,1484305,1093911
TN-509,2018,1496330,1158975
TN-509,2019,1645393,1169359
TN-510,2015,608808,407046
TN-510,2016,554745,430098
TN-510,2017,525674,442584
TN-510,2018,616756,487236
TN-510,2019,618021,490054
TN-512,2015,376900,1169770
TN-512,2016,481136,1225816
TN-512,2017,481136,1283692
TN-512,2018,485154,1413595
TN-512,2019,496317,1407249
TX-500,2015,7778385,9148679
TX-500,2016,8054854,9957968
TX-500,2017,8355718,10275247
TX-500,2018,8867223,10985326
TX-500,2019,9399583,11089218
TX-503,2015,5542258,5006789
TX-503,2016,5521027,5483730
TX-503,2017,5521027,5729337
TX-503,2018,5763762,6125577
TX-503,2019,9194727,6180904
TX-600,2015,16889355,14588072
TX-600,2016,16122196,15765226
TX-600,2017,15497863,16389776
TX-600,2018,15725259,17537363
TX-600,2019,16036168,17785373
TX-601,2015,11231625,8235310
TX-601,2016,11091231,8958134
TX-601,2017,11196995,9380358
TX-601,2018,11923476,10035873
TX-601,2019,12948740,10282149
TX-603,2015,3062544,4970623
TX-603,2016,2611296,5087405
TX-603,2017,2611294,5105463
TX-603,2018,2474084,5471440
TX-603,2019,2934381,5158662
TX-604,2015,1088991,1407156
TX-604,2016,936535,1466678
TX-604,2017,944312,1545973
TX-604,2018,964841,1664116
TX-604,2019,993384,1586589
TX-607,2015,7574506,34716507
TX-607,2016,4477481,36406860
TX-607,2017,5460040,35775907
TX-607,2018,5854328,38074522
TX-607,2019,6270551,37682958
TX-611,2015,772766,1010708
TX-611,2016,690955,1034990
TX-611,2017,595303,1099725
TX-611,2018,603751,1175723
TX-611,2019,557566,1166735
TX-624,2015,357073,894012
TX-624,2016,324611,942161
TX-624,2017,301888,1006559
TX-624,2018,306206,1089706
TX-624,2019,312823,1079926
TX-700,2015,26098976,26193244
TX-700,2016,31431551,29700065
TX-700,2017,34396386,31075334
TX-700,2018,33158643,33223246
TX-700,2019,37161187,32932741
TX-701,2015,302566,771720
TX-701,2016,310636,810955
TX-701,2017,288891,845535
TX-701,2018,285591,898706
TX-701,2019,298095,867501
UT-500,2015,6514485,4431127
UT-500,2016,6983748,4715741
UT-500,2017,7082121,4931272
UT-500,2018,7146067,5272680
UT-500,2019,7673145,5230325
UT-503,2015,1297235,1777878
