coc_number,year,ard_ard,ard_pprn
CA-523,2019,0,222960
CA-524,2015,0,437815
CA-524,2016,0,471714
CA-524,2017,0,488620
CA-524,2018,0,515155
CA-524,2019,0,518255
CA-525,2015,12419,295925
CA-525,2016,10556,302760
CA-525,2017,9817,310993
CA-525,2018,9817,340680
CA-525,2019,9817,344537
CA-526,2015,310199,393786
CA-526,2016,301090,429724
CA-526,2017,302026,440306
CA-526,2018,424790,469220
CA-526,2019,406899,467065
CA-527,2015,0,187647
CA-527,2016,0,183684
CA-527,2017,0,184121
CA-527,2018,0,196732
CA-527,2019,0,201166
CA-529,2015,0,179563
CA-529,2017,0,205638
CA-529,2018,0,207430
CA-529,2019,0,209334
CA-530,2016,0,103023
CA-530,2017,0,105476
CA-530,2018,0,104459
CA-530,2019,0,98744
CA-531,2019,175026,281740
CA-600,2015,94569949,60330374
CA-600,2016,101995691,63572025
CA-600,2017,104865915,65917815
CA-600,2018,108095651,70478040
CA-600,2019,122457061,68961451
CA-601,2015,16534996,13323963
CA-601,2016,17363919,14448695
CA-601,2017,17708276,15802180
CA-601,2018,19504303,16895306
CA-601,2019,20809562,17172716
CA-602,2015,19536499,12787010
CA-602,2016,21703735,13302922
CA-602,2017,21703735,13665037
CA-602,2018,22807570,14612152
CA-602,2019,23388929,14414374
CA-603,2015,1482184,1577428
CA-603,2016,1615010,1760769
CA-603,2017,1614978,1576493
CA-603,2018,1684716,1686084
CA-603,2019,1945236,1720438
CA-604,2015,4219801,5443552
CA-604,2016,5390165,5462510
CA-604,2017,5449819,5598776
CA-604,2018,5376223,5985825
CA-604,2019,5745883,6376972
CA-606,2015,7083724,3844171
CA-606,2016,7312216,4088787
CA-606,2017,7312216,4111016
CA-606,2018,7801973,4395111
CA-606,2019,8077755,4470188
CA-607,2015,2940442,1208492
CA-607,2016,3084033,1295691
CA-607,2017,3084033,1351699
CA-607,2018,3163253,1445110
CA-607,2019,3466789,1454738
CA-608,2015,9753569,9592139
CA-608,2016,9069625,10530021
CA-608,2017,9596126,10978453
CA-608,2018,9649536,11738579
CA-608,2019,9754646,11416428
CA-609,2015,7415245,10189052
CA-609,2016,9880150,11220078
CA-609,2017,10002982,11654268
CA-609,2018,10066156,12461021
CA-609,2019,9767625,12422887
CA-611,2015,1859792,3014914
CA-611,2016,1908656,3397896
CA-611,2017,2072803,3425163
CA-611,2018,2189139,3662358
CA-611,2019,2180607,3716410
CA-612,2015,2367960,1176511
CA-612,2016,2302719,1145250
CA-612,2017,2302719,1238322
CA-612,2018,2347395,1323898
CA-612,2019,2373290,1357666
CA-613,2015,205945,535945
CA-613,2016,175053,555029
CA-613,2017,175053,568675
CA-613,2018,161815,603394
CA-613,2019,165691,611746
CA-614,2015,1061562,1095607
CA-614,2016,902328,1192328
CA-614,2017,890056,1256640
CA-614,2018,906615,1343481
CA-614,2019,939693,1401963
CA-615,2015,0,95403
CO-500,2015,3207632,2895989
CO-500,2016,2938537,3080102
CO-500,2017,2778029,3268502
CO-500,2018,2810881,3279623
CO-500,2019,2980923,3438614
CO-503,2015,21211885,9457620
CO-503,2016,23730624,9996539
CO-503,2017,23730624,9906463
CO-503,2018,24574821,10609858
CO-503,2019,26458606,10386977
CO-504,2015,2206284,1955392
CO-504,2016,2386264,2155466
CO-504,2017,2372352,2253795
CO-504,2018,2333697,2409763
CO-504,2019,2335663,2456093
CT-502,2015,5997100,2333844
CT-503,2015,9118835,3119009
CT-503,2016,9895520,3292211
CT-503,2017,9895520,3426927
CT-503,2018,10238540,3674944
CT-503,2019,12730594,3922727
CT-505,2015,23810559,9095871
CT-505,2016,32598460,12092853
CT-505,2017,33413421,12418513
CT-505,2018,34270359,13270816
CT-505,2019,39707468,13117260
DC-500,2015,21213697,9403698
DC-500,2016,20207356,9955694
