coc_number,coc_name,year
LA-509,Louisiana Balance of State,2017
LA-504,Baton Rouge,2017
LA-500,Lafayette/Acadiana Regional,2017
LA-503,New Orleans/Jefferson Parish,2017
LA-508,"Houma-Terrebonne, Thibodaux",2017
LA-507,Alexandria/Central Louisiana,2017
LA-502,"Shreveport, Bossier/Northwest Louisiana",2017
LA-505,Monroe/Northeast Louisiana,2017
LA-506,Slidell/Southeast Louisiana,2017
ME-500,Maine Balance of State,2017
ME-502,Portland,2017
MD-500,Cumberland/Allegany County,2017
MD-505,Baltimore County,2017
MD-508,"Charles, Calvert, St.Mary'S Counties",2017
MD-511,Mid-Shore Regional,2017
MD-506,Carroll County,2017
MD-507,Cecil County,2017
MD-509,Frederick City & County,2017
MD-510,Garrett County,2017
MD-502,Harford County,2017
MD-504,Howard County,2017
MD-601,Montgomery County,2017
MD-513,"Wicomico, Somerset, Worcester Counties",2017
MD-512,Hagerstown/Washington County,2017
MA-506,Worcester City & County,2017
MA-504,Springfield/Hampden County,2017
MA-500,Boston,2017
MA-516,Massachusetts Balance of State,2017
MA-508,Lowell,2017
MA-515,Fall River,2017
MA-509,Cambridge,2017
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties",2017
MA-510,"Gloucester, Haverhill, Salem/Essex County",2017
MA-505,New Bedford,2017
MA-519,"Attleboro, Taunton/Bristol County",2017
MA-599,"Ma-510, Ma-516 & Ma-518 Shared Jurisdiction",2017
MA-503,Cape Cod Islands,2017
MA-511,"Quincy, Brockton, Weymouth, Plymouth City And County",2017
MA-517,Somerville,2017
MA-518,"Brookline, Newton",2017
MA-502,Lynn,2017
MI-514,Battle Creek/Calhoun County,2017
MI-513,"Marquette, Alger Counties",2017
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County",2017
MI-505,Flint/Genesee County,2017
MI-508,"Lansing, East Lansing/Ingham County",2017
MI-517,Jackson City & County,2017
MI-506,"Grand Rapids, Wyoming/Kent County",2017
MI-518,Livingston County,2017
MI-519,Holland/Ottawa County,2017
MI-501,Detroit,2017
MI-503,"St. Clair Shores, Warren/Macomb County",2017
MI-504,"Pontiac, Royal Oak/Oakland County",2017
MI-510,Saginaw City & County,2017
MI-509,Washtenaw County,2017
MI-507,"Portage, Kalamazoo City & County",2017
MI-516,"Norton Shores, Muskegon City & County",2017
MI-512,"Grand Traverse, Antrim, Leelanau Counties",2017
MI-515,Monroe City & County,2017
MI-523,Eaton County,2017
MI-511,Lenawee County,2017
MN-502,Rochester/Southeast Minnesota,2017
MN-509,Duluth/St. Louis County,2017
MN-508,Moorhead/West Central Minnesota,2017
