year,state,coc_name,coc_number,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort
2016,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,657,73,105,129
2016,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,490,21,42,77
2016,PA,Chester County CoC,PA-505,929,65,114,166
2016,PA,Reading/Berks County CoC,PA-506,994,63,116,163
2016,PA,Scranton/Lackawanna County CoC,PA-508,249,7,13,30
2016,PA,Eastern Pennsylvania CoC,PA-509,1883,49,89,157
2016,PA,Lancaster City & County CoC,PA-510,705,50,75,95
2016,PA,"Bristol, Bensalem/Bucks County CoC",PA-511,359,14,56,100
2016,PA,York City & County CoC,PA-512,623,71,100,157
2016,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,943,75,113,155
2016,PA,Western Pennsylvania CoC,PA-601,1812,93,183,283
2016,PA,Beaver County CoC,PA-603,143,2,5,13
2016,PA,Erie City & County CoC,PA-605,717,73,116,169
2016,PR,Puerto Rico Balance of Commonwealth CoC,PR-502,682,98,135,184
2016,PR,South-Southeast Puerto Rico CoC,PR-503,519,26,46,92
2016,RI,Rhode Island Statewide CoC,RI-500,1714,204,283,336
2016,SC,Charleston/Low Country CoC,SC-500,699,57,90,109
2016,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,1018,58,85,114
2016,SC,Columbia/Midlands CoC,SC-502,1146,103,191,271
2016,SC,"Myrtle Beach, Sumter City & County CoC",SC-503,613,28,48,79
2016,SD,South Dakota Statewide CoC,SD-500,471,35,50,70
2016,TN,Chattanooga/Southeast Tennessee CoC,TN-500,452,24,44,65
2016,TN,Memphis/Shelby County CoC,TN-501,1775,100,139,231
2016,TN,Knoxville/Knox County CoC,TN-502,877,114,165,233
2016,TN,Central Tennessee CoC,TN-503,237,5,15,16
2016,TN,Nashville-Davidson County CoC,TN-504,741,49,68,100
2016,TN,Upper Cumberland CoC,TN-506,361,7,22,33
2016,TN,Jackson/West Tennessee CoC,TN-507,317,4,7,19
2016,TN,Appalachian Regional CoC,TN-509,39,2,6,10
2016,TN,Murfreesboro/Rutherford County CoC,TN-510,124,4,13,27
2016,TN,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,231,8,11,16
2016,TX,San Antonio/Bexar County CoC,TX-500,2969,184,394,659
2016,TX,Austin/Travis County CoC,TX-503,1658,116,169,248
2016,TX,"Dallas City & County, Irving CoC",TX-600,1431,64,103,157
2016,TX,"Fort Worth, Arlington/Tarrant County CoC",TX-601,1308,183,236,300
2016,TX,El Paso City & County CoC,TX-603,573,47,76,107
2016,TX,Waco/McLennan County CoC,TX-604,204,39,45,50
2016,TX,Texas Balance of State CoC,TX-607,3254,271,413,553
2016,TX,Amarillo CoC,TX-611,305,40,61,77
2016,TX,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX-624,33,0,3,3
2016,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",TX-700,3149,353,587,955
2016,TX,"Bryan, College Station/Brazos Valley CoC",TX-701,212,5,6,6
2016,UT,Salt Lake City & County CoC,UT-500,2150,233,410,906
2016,UT,Utah Balance of State CoC,UT-503,886,44,60,160
2016,UT,Provo/Mountainland CoC,UT-504,191,12,20,32
2016,VA,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",VA-500,1355,134,214,316
