year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2007,AK-500,500,430,328,0,130,18,134,366,384,374,80,64,121,263,330,330,202,121,23,53,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AK-500,540,470,400,0,0,33,174,366,359,349,218,64,131,228,319,319,262,121,16,40,279,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AK-500,548,470,430,0,25,34,188,360,329,319,227,45,92,237,364,364,290,27,23,67,297,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AK-500,548,470,400,0,20,34,188,360,442,432,305,74,166,276,378,378,318,26,20,52,326,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AK-500,579,505,425,0,52,46,207,372,477,467,414,86,204,273,449,449,369,26,31,81,368,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AK-500,571,505,425,0,169,40,151,420,430,420,387,84,199,231,516,516,420,37,47,155,361,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AK-500,574,522,425,17,148,43,154,420,441,417,344,47,156,285,604,604,576,84,50,178,426,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AK-500,606,554,424,0,122,38,156,450,382,358,224,48,174,208,505,505,505,,41,126,379,0,0,0,0,0,0,false,0,139,139,139,27,105,34,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AK-500,603,551,411,11,103,44,142,461,416,392,323,48,155,261,492,492,303,,51,168,324,0,0,0,0,0,0,false,0,28,14,14,9,25,3,0,false,false,71,71,71,0,0,71,0,,,,,,,,,,,,
2016,AK-500,553,501,431,179,2,41,147,398,454,432,396,68,197,257,434,434,289,,40,84,350,0,0,0,0,8,0,false,0,55,41,41,17,48,7,0,false,false,97,97,97,0,0,97,0,,,,,,,,,,,,
2017,AK-500,597,545,466,92,24,29,132,456,426,405,363,68,207,219,571,571,379,311,52,156,415,0,0,0,0,9,0,false,0,43,43,43,8,34,9,0,false,false,71,71,71,0,0,71,0,0,60,0,55,0,0,17,3,192,0,0,0
2018,AK-500,749,697,697,72,4,42,198,542,279,265,223,61,163,113,604,604,340,529,48,187,417,0,0,0,0,9,3,false,0,125,96,96,29,102,23,0,false,false,71,71,71,0,0,71,0,0,60,0,54,0,0,14,0,233,0,0,0
2007,AK-501,595,279,0,0,12,95,304,291,279,227,95,31,113,166,159,159,47,28,10,20,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AK-501,574,277,30,0,0,98,291,283,224,160,78,33,97,127,147,147,58,40,10,28,119,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AK-501,567,260,163,0,0,85,254,313,253,186,100,35,117,136,143,143,60,35,9,26,117,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AK-501,533,244,162,0,32,82,245,288,282,217,141,40,107,175,116,116,72,23,13,32,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AK-501,629,343,245,20,7,126,354,275,254,184,144,31,95,159,137,132,65,24,23,48,89,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AK-501,620,335,263,19,2,104,295,298,256,193,138,30,98,153,153,148,75,24,24,60,93,0,0,0,0,27,5,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AK-501,630,339,274,20,16,99,272,346,250,182,128,26,81,165,188,188,188,36,15,45,143,0,0,0,0,12,4,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AK-501,583,277,226,20,0,79,245,316,243,193,157,21,71,143,210,210,210,,14,41,169,0,0,0,0,22,29,false,0,19,19,19,3,18,1,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AK-501,581,275,229,50,0,79,245,311,260,207,171,31,109,134,284,274,145,,19,87,197,0,0,0,0,25,17,false,0,7,7,7,0,0,7,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AK-501,542,308,270,24,15,46,183,340,277,227,152,30,106,171,219,201,96,,21,25,194,0,0,0,0,19,0,false,0,17,17,17,3,9,8,0,false,false,33,33,33,8,28,5,0,,,,,,,,,,,,
2017,AK-501,533,324,283,25,5,49,178,335,272,210,195,31,105,161,368,368,222,77,33,111,257,0,0,0,0,20,6,false,0,23,23,23,4,15,8,0,false,false,30,30,30,0,0,30,0,0,25,12,27,0,0,7,0,146,0,0,0
2018,AK-501,649,339,307,93,35,77,259,384,263,189,180,31,89,171,344,344,177,287,27,87,257,0,0,0,0,6,3,false,0,90,79,79,21,72,18,0,false,false,0,0,0,0,0,0,0,0,16,14,15,0,0,18,0,167,0,0,0
2007,AL-500,388,317,242,45,15,25,80,308,915,761,332,141,431,484,1292,1292,1091,257,293,817,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-500,312,251,241,55,30,19,67,245,788,694,366,118,397,391,1205,1205,1093,261,218,664,541,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-500,340,279,255,0,55,22,81,259,813,719,371,118,397,416,1102,1102,1052,232,187,623,479,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-500,346,285,275,0,55,24,87,259,813,719,371,118,397,416,1127,1127,1052,257,187,623,504,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-500,330,285,275,0,55,44,98,232,905,847,381,117,426,479,1336,1336,987,255,199,677,659,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-500,350,305,270,0,55,25,75,257,747,705,396,110,346,401,1361,1361,1012,285,194,665,696,34,34,34,34,18,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-500,354,309,276,0,55,25,75,261,834,792,483,141,424,410,1361,1361,1062,285,194,665,696,34,34,34,34,18,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-500,400,341,331,0,55,27,82,300,631,603,458,100,327,304,1729,1729,1083,,298,965,764,34,34,34,34,18,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-500,406,347,335,0,35,27,82,306,614,586,457,98,309,305,1686,1686,1122,,299,960,726,34,34,34,34,18,0,false,0,585,585,585,81,275,310,0,false,false,34,34,0,4,12,22,0,,,,,,,,,,,,
2016,AL-500,493,433,404,0,35,38,100,375,586,562,447,86,280,306,1492,1492,900,,300,772,720,34,34,34,34,18,0,false,0,374,374,369,34,111,263,0,false,false,93,93,93,4,12,81,0,,,,,,,,,,,,
2017,AL-500,595,535,463,0,35,40,134,443,357,343,228,37,111,246,1542,1542,1117,668,267,681,861,34,34,34,34,18,0,false,0,525,525,525,79,269,256,0,false,false,93,93,93,4,12,81,0,90,24,79,11,0,0,333,125,565,283,0,0
2018,AL-500,569,483,444,0,40,76,218,339,308,294,179,36,103,205,1768,1768,1277,299,157,525,1243,34,34,34,34,12,0,false,0,191,191,191,13,45,146,0,false,false,0,0,0,0,0,0,0,89,16,44,20,0,0,20,19,566,0,0,0
2007,AL-501,133,77,14,35,27,21,62,71,326,291,296,36,127,199,171,171,171,65,19,49,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-501,190,134,115,25,0,29,94,96,234,193,104,42,130,104,167,167,167,73,14,39,128,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-501,171,115,91,0,25,30,86,85,141,104,82,47,115,26,159,159,114,71,12,28,131,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-501,170,118,118,17,50,30,84,86,148,117,95,41,117,31,163,163,163,74,13,28,135,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-501,265,213,213,0,25,35,115,150,150,119,109,38,107,43,180,180,170,96,23,38,142,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-501,251,202,202,0,14,39,112,139,128,99,91,35,94,34,214,214,173,81,17,43,171,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-501,251,202,202,0,27,37,112,139,130,101,93,33,96,34,217,217,179,77,13,36,181,0,0,0,0,0,0,false,0,5,5,5,0,0,5,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-501,344,296,268,0,60,42,122,222,193,160,80,33,91,102,199,199,199,,21,39,160,0,0,0,0,0,0,false,0,10,10,0,0,0,10,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-501,359,311,249,0,59,42,104,255,125,92,77,27,67,58,208,208,208,,9,22,186,0,0,0,0,0,0,false,0,75,75,6,17,47,28,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AL-501,354,302,268,0,43,48,118,236,122,89,87,25,62,60,504,504,459,,84,306,198,0,0,0,0,0,0,false,0,467,467,173,96,335,132,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-501,304,252,237,0,4,31,111,193,222,186,99,59,154,68,247,247,197,101,17,29,218,0,0,0,0,0,0,false,0,54,54,50,22,44,10,0,false,false,0,0,0,0,0,0,0,5,0,40,42,0,0,10,21,60,0,0,0
2018,AL-501,298,246,211,0,20,32,117,181,137,101,99,30,97,40,203,203,203,157,5,15,188,0,0,0,0,0,0,false,0,60,60,60,13,39,21,0,false,false,0,0,0,0,0,0,0,5,0,38,0,0,0,17,0,0,0,0,0
2007,AL-502,36,36,4,0,0,4,22,14,138,91,47,17,53,85,79,79,0,2,0,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-502,36,36,36,0,0,4,22,14,225,178,0,16,50,175,77,77,0,4,0,0,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-502,38,38,38,0,0,4,22,16,207,160,0,16,50,157,79,79,0,3,0,0,79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-502,64,64,34,0,10,4,28,36,223,175,0,16,51,172,110,110,0,3,0,0,110,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-502,34,34,34,0,10,3,18,16,257,175,0,17,70,187,79,79,0,3,0,0,79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-502,44,44,34,0,10,3,18,26,206,154,0,16,55,151,77,77,0,3,0,0,77,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-502,67,67,38,0,0,8,34,33,191,113,0,24,79,112,68,68,0,10,0,0,68,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-502,82,82,34,10,0,14,48,34,184,106,0,28,95,89,50,50,0,,0,0,50,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-502,70,70,0,60,0,12,40,30,194,114,0,34,122,72,58,58,2,,1,2,56,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AL-502,41,41,0,76,0,4,19,22,196,116,0,34,122,74,36,36,6,,0,0,36,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,20,20,0,0,0,20,0,,,,,,,,,,,,
2017,AL-502,41,41,0,76,0,4,19,22,196,116,0,34,122,74,36,36,6,0,0,0,36,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,20,20,0,0,0,20,0,36,2,25,22,0,0,0,0,20,0,0,0
2018,AL-502,102,62,0,75,0,13,65,37,108,80,0,7,25,67,50,50,0,50,0,0,50,0,0,0,0,0,16,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
2007,AL-503,438,391,307,0,55,20,25,413,420,420,291,24,98,322,141,141,108,88,0,0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-503,362,323,68,23,0,7,14,348,378,378,86,35,80,298,252,252,47,24,1,3,249,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-503,360,321,71,0,18,9,16,344,271,271,94,35,113,158,20,20,10,10,0,0,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-503,347,291,71,0,0,9,16,331,332,332,94,36,118,214,20,20,10,10,0,0,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-503,407,361,231,0,0,17,66,341,164,164,131,30,116,48,123,123,54,10,11,30,93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-503,449,403,200,0,8,19,105,344,132,132,73,51,108,24,145,145,50,0,85,85,60,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-503,442,397,206,0,12,23,100,342,117,112,53,40,87,30,178,178,93,18,21,21,157,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-503,445,395,85,0,54,20,91,354,89,89,72,30,70,16,211,211,84,,33,44,167,0,0,0,0,0,3,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-503,498,448,138,0,15,33,133,357,34,29,22,11,15,19,241,241,88,,34,43,198,0,0,0,0,8,0,false,0,49,49,49,6,23,26,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AL-503,432,382,129,0,2,35,129,295,34,29,22,11,20,14,278,278,128,,15,50,228,0,0,0,0,8,0,false,0,39,39,39,4,10,29,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-503,457,407,82,0,2,41,148,295,30,25,22,11,20,10,302,302,75,296,30,89,213,0,0,0,0,14,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,227,0,0,0
2018,AL-503,504,454,101,0,0,40,159,329,27,22,22,11,20,7,309,309,78,300,22,86,223,0,0,0,0,16,0,false,0,3,3,3,0,0,3,0,false,false,0,0,0,0,0,0,0,0,16,0,7,0,0,3,0,231,0,0,0
2007,AL-504,153,133,132,9,59,3,11,142,276,222,153,26,76,200,239,239,189,90,24,61,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-504,141,132,108,0,40,4,11,130,276,222,149,30,78,198,218,218,184,62,17,53,165,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-504,120,114,107,0,39,6,14,106,225,171,143,23,72,153,242,242,206,73,17,53,189,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-504,131,125,125,0,61,5,13,118,253,199,185,25,77,176,225,225,197,66,17,59,166,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-504,119,109,109,0,3,6,19,100,256,202,199,23,84,172,282,282,227,110,25,83,199,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-504,133,127,127,0,0,5,15,118,280,224,224,32,88,192,327,327,177,158,35,95,232,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-504,151,145,145,0,0,15,30,121,307,251,251,37,105,202,348,348,179,227,39,109,239,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-504,120,114,114,0,0,8,18,102,343,289,289,50,134,209,429,429,222,,46,133,296,0,0,0,0,0,0,false,0,43,43,43,11,39,4,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-504,153,147,132,0,0,15,42,111,261,207,207,31,83,178,471,471,201,,40,163,308,0,0,0,0,0,0,false,0,11,11,11,3,9,2,0,false,false,22,22,0,0,0,22,0,,,,,,,,,,,,
2016,AL-504,258,248,233,0,0,25,57,201,164,110,110,27,81,83,514,514,249,,54,173,341,0,0,0,0,0,0,false,0,47,47,47,9,35,12,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-504,247,237,222,0,0,15,49,198,146,92,92,27,79,67,486,486,259,403,48,145,341,0,0,0,0,0,0,false,0,58,58,58,9,35,23,0,false,false,0,0,0,0,0,0,0,37,0,0,0,0,0,33,0,227,0,0,0
2018,AL-504,213,207,207,0,0,15,47,166,147,93,93,27,79,68,464,464,241,134,53,165,299,0,0,0,0,0,0,false,0,55,55,55,7,20,35,0,false,false,0,0,0,0,0,0,0,36,0,0,0,0,0,28,0,223,0,0,0
2007,AL-505,228,161,18,56,55,15,45,183,66,66,18,5,15,51,2,2,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-505,181,138,34,56,41,7,54,127,71,71,18,6,18,53,68,68,6,1,35,42,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-505,165,138,34,56,41,7,54,111,71,71,18,6,18,53,69,69,6,2,35,42,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-505,153,132,34,56,41,6,53,100,76,71,18,6,18,58,39,39,6,1,30,30,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-505,172,151,76,66,41,32,82,90,233,223,22,7,11,222,20,20,12,1,20,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-505,258,237,78,66,41,32,92,94,223,213,25,1,5,218,20,20,12,0,20,20,0,0,0,0,0,72,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-505,258,237,78,66,41,32,92,94,128,118,25,1,5,123,12,12,12,0,12,12,0,0,0,0,0,72,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-505,122,102,102,0,260,52,52,66,28,20,20,8,8,9,12,12,12,,12,12,0,0,0,0,0,4,11,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-505,89,64,64,0,13,0,0,79,9,9,0,0,0,9,16,16,16,,2,4,12,0,0,0,0,10,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AL-505,112,89,88,0,6,11,43,68,66,56,44,3,15,36,0,0,0,,0,0,0,0,0,0,0,1,15,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-505,146,118,0,30,0,9,69,63,32,18,0,8,17,15,4,4,0,0,2,4,0,0,0,0,0,14,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2018,AL-505,149,127,127,0,0,4,34,101,4,4,4,0,0,4,8,8,8,8,2,4,4,0,0,0,0,14,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2007,AL-506,93,65,37,0,29,12,37,56,224,224,99,27,75,149,59,59,49,10,4,12,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-506,93,65,37,0,29,12,37,56,236,236,109,27,75,161,62,62,3,11,4,12,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-506,93,65,37,0,29,12,37,56,236,236,109,27,75,161,97,97,14,46,4,12,85,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-506,94,75,37,0,29,12,37,57,247,247,109,30,75,172,117,117,20,46,4,12,105,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-506,84,65,52,0,35,12,37,47,255,255,167,30,75,180,142,142,20,71,4,12,130,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-506,28,2,0,0,0,9,19,9,133,93,8,10,43,90,122,122,15,50,0,0,122,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-506,28,2,0,0,0,9,19,9,126,126,40,6,32,94,160,160,23,58,0,0,160,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-506,16,0,0,0,0,5,6,10,139,139,62,10,48,91,188,188,175,,5,5,183,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-506,16,0,0,0,0,5,6,10,182,182,62,10,48,134,258,258,258,,0,0,258,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AL-506,16,0,0,0,0,5,6,10,82,50,18,10,48,34,290,290,290,,0,0,290,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-506,91,75,75,0,0,15,25,66,82,60,18,10,38,44,294,294,244,4,37,64,230,3,3,0,3,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,267,0,0,0
2018,AL-506,91,75,75,0,0,15,25,66,36,14,8,6,22,14,294,294,244,0,37,64,230,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,267,0,0,0
2007,AL-507,297,182,0,0,0,53,171,126,242,210,0,1,2,240,437,413,0,0,6,13,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AL-507,324,224,0,0,1,70,195,129,456,455,0,2,4,452,366,366,0,6,6,13,353,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AL-507,324,224,0,0,1,70,195,129,456,455,0,2,4,452,366,366,0,6,6,13,353,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AL-507,357,265,0,0,1,65,163,194,433,432,9,5,16,417,388,388,0,9,6,13,375,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AL-507,419,316,3,20,1,77,217,202,413,412,16,6,21,392,371,371,0,17,3,11,360,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AL-507,503,380,33,0,1,88,237,266,398,398,12,3,7,391,343,343,0,17,3,11,332,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AL-507,392,280,33,0,1,72,196,196,262,262,12,23,143,119,56,56,0,4,2,8,48,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AL-507,309,197,31,0,1,34,121,188,245,245,5,16,81,164,73,73,0,,2,8,65,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AL-507,277,189,8,0,5,47,137,132,292,292,10,21,65,227,57,57,57,,6,13,44,0,0,0,0,8,0,false,0,0,0,0,0,0,0,0,false,false,154,154,0,2,8,146,0,,,,,,,,,,,,
2016,AL-507,206,118,4,0,7,33,92,109,293,293,43,7,26,262,280,280,142,,19,38,241,0,0,0,0,5,5,false,1,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AL-507,192,104,0,0,9,32,94,98,269,269,29,7,26,237,245,245,83,8,15,50,195,0,0,0,0,0,6,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,11,33,21,13,0,0,0,0,26,4,0,0
2018,AL-507,188,104,0,0,2,32,90,98,273,273,29,6,20,252,221,221,93,29,10,32,189,0,0,0,0,0,1,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,11,33,25,5,0,0,0,0,26,4,0,0
2007,AR-500,441,396,273,0,134,22,77,364,605,505,438,74,251,354,657,657,597,76,147,398,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-500,408,363,253,0,134,28,89,319,527,427,340,65,228,299,690,685,625,71,149,416,274,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-500,408,363,253,0,134,28,89,319,571,471,308,60,211,360,736,731,625,71,149,416,320,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-500,408,363,253,0,134,28,89,319,591,491,374,60,211,380,660,654,548,77,110,303,357,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-500,494,438,243,0,134,47,116,378,547,447,390,66,211,336,704,698,548,77,110,303,401,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-500,494,438,243,0,134,47,116,378,515,415,390,63,199,316,704,698,548,77,110,303,401,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-500,428,372,191,0,134,24,88,340,383,283,195,35,117,266,761,755,555,71,110,303,458,0,0,0,0,0,0,false,0,59,59,59,6,19,40,0,,,,,,,,,,,,,,,,,,,,,
2014,AR-500,404,348,167,0,120,24,88,316,387,287,228,35,117,270,765,765,561,,113,309,456,0,0,0,0,0,0,false,0,83,83,83,10,38,45,0,false,false,22,16,16,2,9,13,0,,,,,,,,,,,,
